Summit Hotel Properties Quarterly Net Income (Millions of US $),Summit Hotel Properties Quarterly Net Income (Millions of US $).1
2024-12-31,$1
2024-09-30,$-4
2024-06-30,$31
2024-03-31,$-2
2023-12-31,$-17
2023-09-30,$-5
2023-06-30,$-1
2023-03-31,$-5
2022-12-31,$-12
2022-09-30,$-1
2022-06-30,$8
2022-03-31,$-12
2021-12-31,$-15
2021-09-30,$-11
2021-06-30,$-22
2021-03-31,$-35
2020-12-31,$-47
2020-09-30,$-38
2020-06-30,$-54
2020-03-31,$-19
2019-12-31,$6
2019-09-30,$8
2019-06-30,$45
2019-03-31,$9
2018-12-31,$2
2018-09-30,$34
2018-06-30,$34
2018-03-31,$1
2017-12-31,$2
2017-09-30,$18
2017-06-30,$30
2017-03-31,$29
2016-12-31,$3
2016-09-30,$22
2016-06-30,$18
2016-03-31,$44
2015-12-31,$80
2015-09-30,$9
2015-06-30,$12
2015-03-31,$6
2014-12-31,$1
2014-09-30,$-0
2014-06-30,$5
2014-03-31,$-1
2013-12-31,$-6
2013-09-30,$-5
2013-06-30,$3
2013-03-31,$-1
2012-12-31,$-2
2012-09-30,$0
2012-06-30,$-1
2012-03-31,$-3
2011-12-31,$-3
2011-09-30,$0
2011-06-30,$0
2011-03-31,$-7
2010-12-31,$-14
2010-09-30,$-1
2010-06-30,$-2
2010-03-31,$-4
2009-12-31,
