GrafTech Quarterly Net Income (Millions of US $),GrafTech Quarterly Net Income (Millions of US $).1
2024-12-31,$-49
2024-09-30,$-36
2024-06-30,$-15
2024-03-31,$-31
2023-12-31,$-217
2023-09-30,$-23
2023-06-30,$-8
2023-03-31,$-7
2022-12-31,$50
2022-09-30,$93
2022-06-30,$115
2022-03-31,$124
2021-12-31,$141
2021-09-30,$120
2021-06-30,$28
2021-03-31,$99
2020-12-31,$125
2020-09-30,$94
2020-06-30,$93
2020-03-31,$122
2019-12-31,$175
2019-09-30,$176
2019-06-30,$196
2019-03-31,$197
2018-12-31,$230
2018-09-30,$199
2018-06-30,$201
2018-03-31,$224
2017-12-31,$56
2017-09-30,$-4
2017-06-30,$-17
2017-03-31,$-26
2016-12-31,$-48
2016-09-30,$-23
2016-06-30,$-128
2016-03-31,$-36
2015-12-31,$-26
2015-09-30,$-50
2015-06-30,$-23
2015-03-31,$-56
2014-12-31,$-83
2014-09-30,$-35
2014-06-30,$-155
2014-03-31,$-12
2013-12-31,$-28
2013-09-30,$-8
2013-06-30,$4
2013-03-31,$4
2012-12-31,$29
2012-09-30,$30
2012-06-30,$42
2012-03-31,$18
2011-12-31,$57
2011-09-30,$40
2011-06-30,$29
2011-03-31,$27
2010-12-31,$73
2010-09-30,$26
2010-06-30,$41
2010-03-31,$35
2009-12-31,$37
2009-09-30,$7
2009-06-30,$-37
2009-03-31,$8
