Sage Therapeutics Quarterly Net Income (Millions of US $),Sage Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-96
2024-09-30,$-94
2024-06-30,$-103
2024-03-31,$-108
2023-12-31,$-33
2023-09-30,$-202
2023-06-30,$-160
2023-03-31,$-147
2022-12-31,$-147
2022-09-30,$-137
2022-06-30,$-126
2022-03-31,$-122
2021-12-31,$-125
2021-09-30,$-130
2021-06-30,$-107
2021-03-31,$-96
2020-12-31,$975
2020-09-30,$-106
2020-06-30,$-136
2020-03-31,$-127
2019-12-31,$-169
2019-09-30,$-180
2019-06-30,$-168
2019-03-31,$-163
2018-12-31,$-158
2018-09-30,$-123
2018-06-30,$-17
2018-03-31,$-75
2017-12-31,$-69
2017-09-30,$-74
2017-06-30,$-70
2017-03-31,$-57
2016-12-31,$-56
2016-09-30,$-38
2016-06-30,$-35
2016-03-31,$-31
2015-12-31,$-29
2015-09-30,$-24
2015-06-30,$-25
2015-03-31,$-17
2014-12-31,$-12
2014-09-30,$-10
2014-06-30,$-8
2014-03-31,$-6
2013-12-31,
2013-09-30,$-5
2013-06-30,$-5
2012-12-31,
