Allogene Therapeutics Quarterly Net Income (Millions of US $),Allogene Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-60
2024-09-30,$-66
2024-06-30,$-66
2024-03-31,$-65
2023-12-31,$-86
2023-09-30,$-62
2023-06-30,$-79
2023-03-31,$-100
2022-12-31,$-103
2022-09-30,$-83
2022-06-30,$-75
2022-03-31,$-80
2021-12-31,$0
2021-09-30,$-78
2021-06-30,$-71
2021-03-31,$-33
2020-12-31,$-135
2020-09-30,$-66
2020-06-30,$-61
2020-03-31,$-54
2019-12-31,$-61
2019-09-30,$-51
2019-06-30,$-41
2019-03-31,$-32
2018-12-31,$-31
2018-09-30,$-43
2018-06-30,$-135
2018-03-31,$-3
2017-12-31,
