Regulus Therapeutics Quarterly Net Income (Millions of US $),Regulus Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-13
2024-09-30,$-14
2024-06-30,$-11
2024-03-31,$-8
2023-12-31,$-8
2023-09-30,$-8
2023-06-30,$-7
2023-03-31,$-7
2022-12-31,$-7
2022-09-30,$-8
2022-06-30,$-7
2022-03-31,$-7
2021-12-31,$-7
2021-09-30,$-9
2021-06-30,$-6
2021-03-31,$-6
2020-12-31,$-1
2020-09-30,$-2
2020-06-30,$-7
2020-03-31,$-6
2019-12-31,$-5
2019-09-30,$-5
2019-06-30,$-5
2019-03-31,$-3
2018-12-31,$-9
2018-09-30,$-10
2018-06-30,$-14
2018-03-31,$-16
2017-12-31,$-14
2017-09-30,$-16
2017-06-30,$-22
2017-03-31,$-20
2016-12-31,$-20
2016-09-30,$-20
2016-06-30,$-21
2016-03-31,$-21
2015-12-31,$-7
2015-09-30,$-13
2015-06-30,$-21
2015-03-31,$-14
2014-12-31,$-22
2014-09-30,$-10
2014-06-30,$-12
2014-03-31,$-13
2013-12-31,$-2
2013-09-30,$-2
2013-06-30,$-7
2013-03-31,$-7
2012-12-31,$-7
2012-09-30,$-6
2012-06-30,$-3
2012-03-31,$-2
2011-12-31,
2011-09-30,$-1
2010-12-31,
