Lindblad Expeditions Quarterly Net Income (Millions of US $),Lindblad Expeditions Quarterly Net Income (Millions of US $).1
2024-12-31,$-26
2024-09-30,$21
2024-06-30,$-26
2024-03-31,$-5
2023-12-31,$-29
2023-09-30,$5
2023-06-30,$-26
2023-03-31,$-0
2022-12-31,$-33
2022-09-30,$-10
2022-06-30,$-30
2022-03-31,$-43
2021-12-31,$-28
2021-09-30,$-26
2021-06-30,$-37
2021-03-31,$-35
2020-12-31,$-31
2020-09-30,$-28
2020-06-30,$-40
2020-03-31,$-2
2019-12-31,$-1
2019-09-30,$-0
2019-06-30,$1
2019-03-31,$15
2018-12-31,$-5
2018-09-30,$5
2018-06-30,$0
2018-03-31,$11
2017-12-31,$-16
2017-09-30,$9
2017-06-30,$-3
2017-03-31,$1
2016-12-31,$-9
2016-09-30,$7
2016-06-30,$-4
2016-03-31,$10
2015-12-31,$-0
2015-09-30,$4
2015-06-30,$9
2015-03-31,$7
2014-12-31,$15
2014-09-30,$7
2014-06-30,$-0
2014-03-31,$-0
2013-12-31,$15
2013-09-30,$-0
2013-06-30,$-0
2013-03-31,$-0
2012-12-31,$-0
2012-09-30,$-0
2012-06-30,
2012-03-31,$-0
