Cherry Hill Mortgage Investment Quarterly Net Income (Millions of US $),Cherry Hill Mortgage Investment Quarterly Net Income (Millions of US $).1
2024-12-31,$9
2024-09-30,$-15
2024-06-30,$-2
2024-03-31,$10
2023-12-31,$-35
2023-09-30,$13
2023-06-30,$-1
2023-03-31,$-21
2022-12-31,$-35
2022-09-30,$38
2022-06-30,$-18
2022-03-31,$26
2021-12-31,$4
2021-09-30,$-6
2021-06-30,$-14
2021-03-31,$18
2020-12-31,$6
2020-09-30,$-3
2020-06-30,$-15
2020-03-31,$-50
2019-12-31,$-1
2019-09-30,$-7
2019-06-30,$-29
2019-03-31,$-23
2018-12-31,$-43
2018-09-30,$26
2018-06-30,$12
2018-03-31,$34
2017-12-31,$19
2017-09-30,$6
2017-06-30,$-2
2017-03-31,$22
2016-12-31,$26
2016-09-30,$5
2016-06-30,$0
2016-03-31,$-7
2015-12-31,$10
2015-09-30,$-5
2015-06-30,$11
2015-03-31,$-2
2014-12-31,$-1
2014-09-30,$3
2014-06-30,$-1
2014-03-31,$1
2013-12-31,$21
2013-09-30,$-0
2013-06-30,$-0
2013-03-31,$-0
2012-12-31,
