Open Lending Quarterly Net Income (Millions of US $),Open Lending Quarterly Net Income (Millions of US $).1
2024-09-30,$1
2024-06-30,$3
2024-03-31,$5
2023-12-31,$-5
2023-09-30,$3
2023-06-30,$11
2023-03-31,$13
2022-12-31,$-4
2022-09-30,$25
2022-06-30,$23
2022-03-31,$23
2021-12-31,$28
2021-09-30,$29
2021-06-30,$76
2021-03-31,$13
2020-12-31,$15
2020-09-30,$-71
2020-06-30,$-50
2020-03-31,$15
2019-12-31,$-59
2019-09-30,$-47
2019-06-30,$-7
2019-03-31,$1
2018-12-31,$-46
2018-09-30,$1
2018-06-30,$1
2018-03-31,$0
2017-12-31,
2017-06-30,$1
