Domo Quarterly Net Income (Millions of US $),Domo Quarterly Net Income (Millions of US $).1
2024-10-31,$-19
2024-07-31,$-19
2024-04-30,$-26
2024-01-31,$-19
2023-10-31,$-16
2023-07-31,$-16
2023-04-30,$-24
2023-01-31,$-20
2022-10-31,$-24
2022-07-31,$-29
2022-04-30,$-33
2022-01-31,$-33
2021-10-31,$-29
2021-07-31,$-22
2021-04-30,$-18
2021-01-31,$-20
2020-10-31,$-22
2020-07-31,$-18
2020-04-30,$-25
2020-01-31,$-30
2019-10-31,$-29
2019-07-31,$-31
2019-04-30,$-36
2019-01-31,$-30
2018-10-31,$-33
2018-07-31,$-46
2018-04-30,$-46
2018-01-31,
2017-10-31,$-44
2017-07-31,$-43
2017-01-31,
