Ecovyst Quarterly Net Income (Millions of US $),Ecovyst Quarterly Net Income (Millions of US $).1
2024-12-31,$-30
2024-09-30,$14
2024-06-30,$8
2024-03-31,$1
2023-12-31,$30
2023-09-30,$17
2023-06-30,$26
2023-03-31,$-1
2022-12-31,$25
2022-09-30,$21
2022-06-30,$19
2022-03-31,$8
2021-12-31,$25
2021-09-30,$-71
2021-06-30,$-1
2021-03-31,$-93
2020-12-31,$-302
2020-09-30,$8
2020-06-30,$16
2020-03-31,$0
2019-12-31,$19
2019-09-30,$27
2019-06-30,$31
2019-03-31,$3
2018-12-31,$28
2018-09-30,$14
2018-06-30,$16
2018-03-31,$0
2017-12-31,$65
2017-09-30,$-3
2017-06-30,$-2
2017-03-31,$-2
2016-12-31,
2016-09-30,$-10
2015-12-31,
2014-12-31,
