Team Quarterly Net Income (Millions of US $),Team Quarterly Net Income (Millions of US $).1
2024-12-31,$-7
2024-09-30,$-11
2024-06-30,$-3
2024-03-31,$-17
2023-12-31,$-23
2023-09-30,$-12
2023-06-30,$-16
2023-03-31,$-25
2022-12-31,$147
2022-09-30,$-23
2022-06-30,$-22
2022-03-31,$-32
2021-12-31,$-43
2021-09-30,$-91
2021-06-30,$-17
2021-03-31,$-34
2020-12-31,$-15
2020-09-30,$-9
2020-06-30,$-14
2020-03-31,$-200
2019-12-31,$-7
2019-09-30,$-7
2019-06-30,$6
2019-03-31,$-24
2018-12-31,$4
2018-09-30,$-24
2018-06-30,$-31
2018-03-31,$-12
2017-12-31,$20
2017-09-30,$-84
2017-06-30,$-11
2017-03-31,$-10
2016-12-31,$-9
2016-09-30,$-4
2016-06-30,$7
2016-03-31,$-6
2015-12-31,
2015-11-30,$11
2015-09-30,$3
2015-08-31,$1
2015-06-30,$14
2015-05-31,
2015-03-31,$3
2015-02-28,$0
2014-11-30,$17
2014-08-31,$7
2014-05-31,
2014-02-28,$-1
2013-11-30,$14
2013-08-31,$5
2013-05-31,
2013-02-28,$-1
2012-11-30,$14
2012-08-31,$8
2012-05-31,
2012-02-29,$2
2011-11-30,$10
2011-08-31,$7
2011-05-31,
2011-02-28,$4
2010-11-30,$8
2010-08-31,$4
2010-05-31,
2010-02-28,$-0
2009-11-30,$6
2009-08-31,$1
2009-05-31,
2009-02-28,$2
