Third Coast Bancshares Quarterly Net Income (Millions of US $),Third Coast Bancshares Quarterly Net Income (Millions of US $).1
2024-12-31,$13
2024-09-30,$12
2024-06-30,$10
2024-03-31,$9
2023-12-31,$8
2023-09-30,$4
2023-06-30,$8
2023-03-31,$8
2022-12-31,$6
2022-09-30,$7
2022-06-30,$2
2022-03-31,$2
2021-12-31,$0
2021-09-30,$2
2021-06-30,$4
2021-03-31,$5
2020-12-31,
2020-09-30,$4
2019-12-31,
2011-06-30,
2011-03-31,
2010-12-31,
2010-09-30,
2010-06-30,
2010-03-31,
2009-12-31,
2009-09-30,
2009-06-30,
2009-03-31,
