Carlyle Secured Lending Quarterly Net Income (Millions of US $),Carlyle Secured Lending Quarterly Net Income (Millions of US $).1
2024-12-31,$20
2024-09-30,$19
2024-06-30,$18
2024-03-31,$28
2023-12-31,$29
2023-09-30,$29
2023-06-30,$4
2023-03-31,$27
2022-12-31,$12
2022-09-30,$37
2022-06-30,$4
2022-03-31,$30
2021-12-31,$33
2021-09-30,$47
2021-06-30,$42
2021-03-31,$35
2020-12-31,$37
2020-09-30,$33
2020-06-30,$56
2020-03-31,$-121
2019-12-31,$27
2019-09-30,$-9
2019-06-30,$10
2019-03-31,$34
2018-12-31,$-1
2018-09-30,$6
2018-06-30,$13
2018-03-31,$21
2017-12-31,$27
2017-09-30,$26
2017-06-30,$16
2017-03-31,$16
2016-12-31,$17
2016-09-30,$29
2016-06-30,$26
2016-03-31,$-3
2015-12-31,$-10
2015-09-30,$10
2015-06-30,$9
2015-03-31,$10
2014-12-31,$-4
2014-09-30,$1
2014-06-30,$5
2014-03-31,$4
2013-12-31,
2013-09-30,$-1
2013-06-30,$-3
2013-03-31,
2012-12-31,
2012-09-30,$-4
