BIT Mining Quarterly Net Income (Millions of US $),BIT Mining Quarterly Net Income (Millions of US $).1
2024-06-30,
2023-12-31,$-19
2023-09-30,$-4
2023-06-30,$-1
2023-03-31,$-5
2022-12-31,$-117
2022-09-30,$-19
2022-06-30,$-18
2022-03-31,$-0
2021-12-31,$-13
2021-09-30,$-36
2021-06-30,$-15
2021-03-31,$2
2020-12-31,$-9
2020-09-30,$-6
2020-06-30,$-12
2020-03-31,$-5
2019-12-31,$-46
2019-09-30,$-13
2019-06-30,$-20
2019-03-31,$-14
2018-12-31,$-33
2018-09-30,$-15
2018-06-30,$-8
2018-03-31,$-9
2017-12-31,$-21
2017-09-30,$-11
2017-06-30,$-8
2017-03-31,$-9
2016-12-31,$0
2016-09-30,$-11
2016-06-30,$-4
2016-03-31,$-14
2015-12-31,$-17
2015-09-30,$-13
2015-06-30,$-13
2015-03-31,$-8
2014-12-31,$2
2014-09-30,$6
2014-06-30,$12
2014-03-31,$4
2013-12-31,$14
2013-09-30,$2
2013-06-30,$2
2013-03-31,$-1
2012-12-31,
