World Acceptance Quarterly Net Income (Millions of US $),World Acceptance Quarterly Net Income (Millions of US $).1
2024-12-31,$13
2024-09-30,$22
2024-06-30,$10
2024-03-31,$35
2023-12-31,$17
2023-09-30,$16
2023-06-30,$10
2023-03-31,$25
2022-12-31,$6
2022-09-30,$-1
2022-06-30,$-9
2022-03-31,$18
2021-12-31,$7
2021-09-30,$12
2021-06-30,$16
2021-03-31,$45
2020-12-31,$14
2020-09-30,$13
2020-06-30,$16
2020-03-31,$23
2019-12-31,$-6
2019-09-30,$3
2019-06-30,$9
2019-03-31,$38
2018-12-31,$6
2018-09-30,$15
2018-06-30,$-22
2018-03-31,$29
2017-12-31,$2
2017-09-30,$10
2017-06-30,$13
2017-03-31,$32
2016-12-31,$10
2016-09-30,$15
2016-06-30,$17
2016-03-31,$30
2015-12-31,$15
2015-09-30,$19
2015-06-30,$24
2015-03-31,$49
2014-12-31,$18
2014-09-30,$21
2014-06-30,$23
2014-03-31,$39
2013-12-31,$23
2013-09-30,$22
2013-06-30,$23
2013-03-31,$38
2012-12-31,$21
2012-09-30,$23
2012-06-30,$23
2012-03-31,$38
2011-12-31,$20
2011-09-30,$23
2011-06-30,$20
2011-03-31,$34
2010-12-31,$18
2010-09-30,$20
2010-06-30,$19
2010-03-31,$30
2009-12-31,$15
2009-09-30,$15
2009-06-30,$15
2009-03-31,$26
