Gryphon Digital Mining Quarterly Net Income (Millions of US $),Gryphon Digital Mining Quarterly Net Income (Millions of US $).1
2024-09-30,$-6
2024-06-30,$-4
2024-03-31,$-12
2023-12-31,$6
2023-09-30,$-8
2023-06-30,$-3
2023-03-31,$-7
2022-12-31,$-26
2022-09-30,$-2
2022-06-30,$-30
2022-03-31,$-22
2021-12-31,$-17
2021-09-30,$-2
2021-06-30,$-6
2021-03-31,$-6
2020-12-31,
2020-09-30,$-4
2020-06-30,$-5
2020-03-31,$-5
2019-12-31,$-4
2019-09-30,$-2
2019-06-30,
2019-03-31,$-2
2018-12-31,$-2
2018-09-30,$-2
2018-06-30,$0
2018-03-31,$-0
2017-12-31,
