TrueCar Quarterly Net Income (Millions of US $),TrueCar Quarterly Net Income (Millions of US $).1
2024-12-31,$-6
2024-09-30,$-6
2024-06-30,$-14
2024-03-31,$-6
2023-12-31,$-2
2023-09-30,$-8
2023-06-30,$-20
2023-03-31,$-20
2022-12-31,$-18
2022-09-30,$-77
2022-06-30,$-11
2022-03-31,$-12
2021-12-31,$-16
2021-09-30,$-7
2021-06-30,$-7
2021-03-31,$-8
2020-12-31,$87
2020-09-30,$12
2020-06-30,$-11
2020-03-31,$-11
2019-12-31,$-9
2019-09-30,$-8
2019-06-30,$-24
2019-03-31,$-14
2018-12-31,$-6
2018-09-30,$-6
2018-06-30,$-7
2018-03-31,$-9
2017-12-31,$-8
2017-09-30,$-10
2017-06-30,$-8
2017-03-31,$-7
2016-12-31,$-8
2016-09-30,$-7
2016-06-30,$-15
2016-03-31,$-12
2015-12-31,$-27
2015-09-30,$-11
2015-06-30,$-15
2015-03-31,$-12
2014-12-31,$-10
2014-09-30,$-14
2014-06-30,$-15
2014-03-31,$-10
2013-12-31,$-8
2013-09-30,$-5
2013-06-30,$-4
2013-03-31,$-9
2012-12-31,
2011-12-31,
