TPI Composites Quarterly Net Income (Millions of US $),TPI Composites Quarterly Net Income (Millions of US $).1
2024-12-31,$-48
2024-09-30,$-40
2024-06-30,$-91
2024-03-31,$-61
2023-12-31,$13
2023-09-30,$-73
2023-06-30,$-81
2023-03-31,$-37
2022-12-31,$-58
2022-09-30,$-16
2022-06-30,$-20
2022-03-31,$-30
2021-12-31,$-93
2021-09-30,$-31
2021-06-30,$-40
2021-03-31,$-2
2020-12-31,$5
2020-09-30,$42
2020-06-30,$-66
2020-03-31,$-0
2019-12-31,$-1
2019-09-30,$-5
2019-06-30,$2
2019-03-31,$-12
2018-12-31,$-9
2018-09-30,$10
2018-06-30,$-4
2018-03-31,$9
2017-12-31,$2
2017-09-30,$22
2017-06-30,$10
2017-03-31,$5
2016-12-31,$11
2016-09-30,$2
2016-06-30,$9
2016-03-31,$-1
2015-12-31,$11
2015-09-30,$-5
2015-06-30,$2
2015-03-31,$-8
2014-12-31,
2013-12-31,
