Forum Energy Technologies Quarterly Net Income (Millions of US $),Forum Energy Technologies Quarterly Net Income (Millions of US $).1
2024-12-31,$-104
2024-09-30,$-15
2024-06-30,$-7
2024-03-31,$-10
2023-12-31,$-17
2023-09-30,$8
2023-06-30,$-7
2023-03-31,$-3
2022-12-31,$-13
2022-09-30,$16
2022-06-30,$9
2022-03-31,$-9
2021-12-31,$-20
2021-09-30,$-12
2021-06-30,$-22
2021-03-31,$-30
2020-12-31,$-33
2020-09-30,$-22
2020-06-30,$-5
2020-03-31,$-37
2019-12-31,$-12
2019-09-30,$-533
2019-06-30,$-14
2019-03-31,$-8
2018-12-31,$-384
2018-09-30,$-3
2018-06-30,$-15
2018-03-31,$28
2017-12-31,$49
2017-09-30,$-15
2017-06-30,$-78
2017-03-31,$-16
2016-12-31,$-13
2016-09-30,$-18
2016-06-30,$-29
2016-03-31,$-23
2015-12-31,$-164
2015-09-30,$7
2015-06-30,$9
2015-03-31,$29
2014-12-31,$46
2014-09-30,$52
2014-06-30,$40
2014-03-31,$37
2013-12-31,$35
2013-09-30,$33
2013-06-30,$30
2013-03-31,$32
2012-12-31,$24
2012-09-30,$41
2012-06-30,$44
2012-03-31,$42
2011-12-31,$32
2011-09-30,$36
2011-06-30,$14
2011-03-31,$12
2010-09-30,
2010-06-30,
