Yirendai Quarterly Net Income (Millions of US $),Yirendai Quarterly Net Income (Millions of US $).1
2024-09-30,$51
2024-06-30,$56
2024-03-31,$67
2023-12-31,$82
2023-09-30,$76
2023-06-30,$73
2023-03-31,$62
2022-09-30,$38
2022-06-30,
2021-12-31,$54
2021-09-30,$50
2021-06-30,$31
2021-03-31,$28
2020-12-31,$-88
2020-09-30,$12
2020-06-30,$-33
2020-03-31,$3
2019-12-31,$57
2019-09-30,$32
2019-06-30,$23
2019-03-31,$55
2018-12-31,$43
2018-09-30,$22
2018-06-30,$31
2018-03-31,$44
2017-12-31,$75
2017-09-30,$46
2017-06-30,$40
2017-03-31,$51
2016-12-31,$50
2016-09-30,$52
2016-06-30,$39
2016-03-31,$20
2015-12-31,$13
2015-09-30,$13
2015-06-30,$13
2015-03-31,$4
2014-12-31,
2013-12-31,
