Bally's Quarterly Net Income (Millions of US $),Bally's Quarterly Net Income (Millions of US $).1
2024-09-30,$-248
2024-06-30,$-60
2024-03-31,$-174
2023-12-31,$-278
2023-09-30,$-62
2023-06-30,$-26
2023-03-31,$178
2022-12-31,$-488
2022-09-30,$1
2022-06-30,$60
2022-03-31,$2
2021-12-31,$-115
2021-09-30,$-58
2021-06-30,$69
2021-03-31,$-11
2020-12-31,$20
2020-09-30,$7
2020-06-30,$-24
2020-03-31,$-9
2019-12-31,$13
2019-09-30,$7
2019-06-30,$17
2019-03-31,$18
2018-12-31,$22
2018-09-30,$17
2018-06-30,$19
2018-03-31,$11
2017-12-31,
2016-12-31,
