AMC Networks Quarterly Net Income (Millions of US $),AMC Networks Quarterly Net Income (Millions of US $).1
2024-12-31,$-286
2024-09-30,$43
2024-06-30,$-29
2024-03-31,$46
2023-12-31,$-22
2023-09-30,$63
2023-06-30,$70
2023-03-31,$104
2022-12-31,$-265
2022-09-30,$85
2022-06-30,$83
2022-03-31,$104
2021-12-31,$17
2021-09-30,$111
2021-06-30,$36
2021-03-31,$87
2020-12-31,$95
2020-09-30,$62
2020-06-30,$15
2020-03-31,$69
2019-12-31,$-9
2019-09-30,$117
2019-06-30,$129
2019-03-31,$143
2018-12-31,$72
2018-09-30,$111
2018-06-30,$106
2018-03-31,$157
2017-12-31,$145
2017-09-30,$87
2017-06-30,$103
2017-03-31,$136
2016-12-31,$14
2016-09-30,$65
2016-06-30,$77
2016-03-31,$113
2015-12-31,$90
2015-09-30,$73
2015-06-30,$83
2015-03-31,$121
2014-12-31,$78
2014-09-30,$53
2014-06-30,$59
2014-03-31,$71
2013-12-31,$35
2013-09-30,$58
2013-06-30,$136
2013-03-31,$62
2012-12-31,$15
2012-09-30,$37
2012-06-30,$42
2012-03-31,$43
2011-12-31,$29
2011-09-30,$40
2011-06-30,$27
2011-03-31,$30
2010-12-31,
2010-09-30,$25
2010-06-30,$22
2009-12-31,
