AC Immune Quarterly Net Income (Millions of US $),AC Immune Quarterly Net Income (Millions of US $).1
2024-12-31,$-19
2024-09-30,$6
2024-06-30,$-25
2024-03-31,$-20
2023-12-31,$-6
2023-09-30,$-17
2023-06-30,$-19
2023-03-31,$-19
2022-12-31,$-19
2022-09-30,$-14
2022-06-30,$-20
2022-03-31,$-20
2021-12-31,$-23
2021-09-30,$-17
2021-06-30,$-21
2021-03-31,$-18
2020-12-31,$-21
2020-09-30,$-21
2020-06-30,$-16
2020-03-31,$-8
2019-12-31,$-20
2019-09-30,$18
2019-06-30,$-17
2019-03-31,$64
2018-12-31,$-15
2018-09-30,$-14
2018-06-30,$-11
2018-03-31,$-12
2017-12-31,$4
2017-09-30,$-9
2017-06-30,$-13
2017-03-31,$-9
2016-09-30,$-9
2016-06-30,
2016-03-31,$-6
2015-12-31,
