Agenus Quarterly Net Income (Millions of US $),Agenus Quarterly Net Income (Millions of US $).1
2024-09-30,$-66
2024-06-30,$-53
2024-03-31,$-62
2023-12-31,$-46
2023-09-30,$-62
2023-06-30,$-69
2023-03-31,$-68
2022-12-31,$-71
2022-09-30,$-54
2022-06-30,$-46
2022-03-31,$-48
2021-12-31,$-66
2021-09-30,$178
2021-06-30,$-83
2021-03-31,$-54
2020-12-31,$-38
2020-09-30,$-51
2020-06-30,$-48
2020-03-31,$-45
2019-12-31,$-30
2019-09-30,$-46
2019-06-30,$-51
2019-03-31,$18
2018-12-31,$-48
2018-09-30,$-33
2018-06-30,$-25
2018-03-31,$-54
2017-12-31,$-35
2017-09-30,$-37
2017-06-30,$-32
2017-03-31,$-17
2016-12-31,$-26
2016-09-30,$-41
2016-06-30,$-28
2016-03-31,$-32
2015-12-31,$-16
2015-09-30,$-13
2015-06-30,$-40
2015-03-31,$-19
2014-12-31,$-26
2014-09-30,$-8
2014-06-30,$-8
2014-03-31,$-0
2013-12-31,$-6
2013-09-30,$-7
2013-06-30,$-11
2013-03-31,$-9
2012-12-31,$-6
2012-09-30,$-6
2012-06-30,$-7
2012-03-31,$7
2011-12-31,$-6
2011-09-30,$-6
2011-06-30,$-6
2011-03-31,$-6
2010-12-31,$-3
2010-09-30,$-6
2010-06-30,$-5
2010-03-31,$-9
2009-12-31,$2
2009-09-30,$-11
2009-06-30,$-12
2009-03-31,$-10
