UniQure Quarterly Net Income (Millions of US $),UniQure Quarterly Net Income (Millions of US $).1
2024-12-31,$-73
2024-09-30,$-44
2024-06-30,$-56
2024-03-31,$-66
2023-12-31,$-73
2023-09-30,$-90
2023-06-30,$-68
2023-03-31,$-77
2022-12-31,$7
2022-09-30,$-48
2022-06-30,$-39
2022-03-31,$-47
2021-12-31,$8
2021-09-30,$-37
2021-06-30,$399
2021-03-31,$-42
2020-12-31,$-1
2020-09-30,$-54
2020-06-30,$-43
2020-03-31,$-28
2019-12-31,$-41
2019-09-30,$-24
2019-06-30,$-31
2019-03-31,$-28
2018-12-31,$-22
2018-09-30,$-22
2018-06-30,$-21
2018-03-31,$-19
2017-12-31,$-27
2017-09-30,$-10
2017-06-30,$-21
2017-03-31,$-20
2016-12-31,$-15
2016-09-30,$-15
2016-06-30,$-21
2016-03-31,$-22
2015-12-31,$-19
2015-09-30,$-29
2015-06-30,$-21
2015-03-31,$-14
2014-12-31,$-0
2014-09-30,$-11
2014-06-30,$-12
2014-03-31,$-11
2013-12-31,
2013-09-30,
2012-12-31,
