CNFinance Holdings Quarterly Net Income (Millions of US $),CNFinance Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,
2023-12-31,$3
2023-09-30,$7
2023-06-30,$6
2023-03-31,$7
2022-12-31,$4
2022-09-30,$6
2022-06-30,$3
2022-03-31,$7
2021-12-31,$-16
2021-09-30,$3
2021-06-30,$10
2021-03-31,$13
2020-12-31,$15
2020-09-30,$7
2020-06-30,$4
2020-03-31,$-9
2019-12-31,$9
2019-09-30,$25
2019-06-30,$23
2019-03-31,$20
2018-12-31,$27
2018-09-30,$34
2011-06-30,
2011-03-31,
2010-12-31,
2010-09-30,
2010-06-30,
2010-03-31,
2009-12-31,
2009-09-30,
2009-06-30,
2009-03-31,
