HUYA Quarterly Net Income (Millions of US $),HUYA Quarterly Net Income (Millions of US $).1
2024-09-30,$3
2024-06-30,$4
2024-03-31,$10
2023-12-31,$-40
2023-09-30,$2
2023-06-30,$3
2023-03-31,$7
2022-12-31,$-76
2022-09-30,$8
2022-06-30,$-3
2022-03-31,$-1
2021-12-31,$-47
2021-09-30,$81
2021-06-30,$29
2021-03-31,$28
2020-12-31,$42
2020-09-30,$37
2020-06-30,$32
2020-03-31,$24
2019-12-31,$23
2019-09-30,$17
2019-06-30,$18
2019-03-31,$9
2018-12-31,$34
2018-09-30,$8
2018-06-30,$-327
2018-03-31,$-79
2017-12-31,
