Organigram Holdings Quarterly Net Income (Millions of US $),Organigram Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-16
2024-09-30,$-4
2024-06-30,$2
2024-03-31,$-20
2023-12-31,$-12
2023-09-30,$-26
2023-05-31,$-157
2023-02-28,$-6
2022-11-30,$4
2022-08-31,$-5
2022-05-31,$-2
2022-02-28,$-3
2021-11-30,$-1
2021-08-31,$-22
2021-05-31,$-3
2021-02-28,$-52
2020-11-30,$-26
2020-08-31,$-31
2020-05-31,$-64
2020-02-29,$-5
2019-11-30,$-1
2019-08-31,$-17
2019-05-31,$-8
2019-02-28,$-5
2018-11-30,$23
2018-09-30,
