Capitol Federal Financial Quarterly Net Income (Millions of US $),Capitol Federal Financial Quarterly Net Income (Millions of US $).1
2024-12-31,$15
2024-09-30,$12
2024-06-30,$10
2024-03-31,$14
2023-12-31,$3
2023-09-30,$-140
2023-06-30,$8
2023-03-31,$14
2022-12-31,$16
2022-09-30,$19
2022-06-30,$21
2022-03-31,$22
2021-12-31,$22
2021-09-30,$19
2021-06-30,$18
2021-03-31,$20
2020-12-31,$19
2020-09-30,$18
2020-06-30,$19
2020-03-31,$4
2019-12-31,$23
2019-09-30,$22
2019-06-30,$23
2019-03-31,$25
2018-12-31,$24
2018-09-30,$21
2018-06-30,$22
2018-03-31,$23
2017-12-31,$32
2017-09-30,$21
2017-06-30,$21
2017-03-31,$22
2016-12-31,$21
2016-09-30,$21
2016-06-30,$21
2016-03-31,$22
2015-12-31,$21
2015-09-30,$19
2015-06-30,$20
2015-03-31,$19
2014-12-31,$20
2014-09-30,$20
2014-06-30,$20
2014-03-31,$20
2013-12-31,$18
2013-09-30,$16
2013-06-30,$18
2013-03-31,$18
2012-12-31,$18
2012-09-30,$18
2012-06-30,$19
2012-03-31,$19
2011-12-31,$19
2011-09-30,$17
2011-06-30,$17
2011-03-31,$16
2010-12-31,$-11
2010-09-30,$15
2010-06-30,$17
2010-03-31,$15
2009-12-31,$21
2009-09-30,$17
2009-06-30,$15
2009-03-31,$18
