KLX Energy Services Holdings Quarterly Net Income (Millions of US $),KLX Energy Services Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-15
2024-09-30,$-8
2024-06-30,$-8
2024-03-31,$-22
2023-12-31,$-9
2023-09-30,$8
2023-06-30,$11
2023-03-31,$9
2022-12-31,$13
2022-09-30,$11
2022-06-30,$-8
2022-03-31,$-20
2021-12-31,$-13
2021-10-31,$-19
2021-09-30,$-19
2021-07-31,$-25
2021-06-30,$-25
2021-04-30,$-37
2021-01-31,
2020-10-31,$-38
2020-07-31,$-20
2020-04-30,$-243
2020-01-31,
2019-10-31,$-70
2019-07-31,$4
2019-04-30,$-5
2019-01-31,
2018-12-31,
2018-10-31,$-10
2018-07-31,$14
2018-06-30,$14
2018-04-30,$6
2018-03-31,$6
2018-01-31,
2017-12-31,$-57
2017-10-31,$-2
2017-09-30,$-2
2017-07-31,$-8
2017-06-30,$-8
2017-03-31,
2017-01-31,
2016-12-31,
