BEST Quarterly Net Income (Millions of US $),BEST Quarterly Net Income (Millions of US $).1
2024-03-31,$-22
2023-12-31,$-35
2023-09-30,$-24
2023-06-30,$-20
2023-03-31,$-36
2022-12-31,$-60
2022-09-30,$-50
2022-06-30,$-46
2022-03-31,$-57
2021-12-31,$305
2021-09-30,$-99
2021-06-30,$-71
2021-03-31,$-94
2020-12-31,$-109
2020-09-30,$-93
2020-06-30,$-3
2020-03-31,$-105
2019-12-31,$9
2019-09-30,$-0
2019-06-30,$-3
2019-03-31,$-34
2018-12-31,$2
2018-09-30,$-7
2018-06-30,$-14
2018-03-31,$-54
2017-09-30,$-70
2017-03-31,$-61
2016-12-31,
