Compass Minerals Quarterly Net Income (Millions of US $),Compass Minerals Quarterly Net Income (Millions of US $).1
2024-12-31,$-24
2024-09-30,$-48
2024-06-30,$-44
2024-03-31,$-39
2023-12-31,$-75
2023-09-30,$-4
2023-06-30,$36
2023-03-31,$-22
2022-12-31,$-0
2022-09-30,$-4
2022-06-30,$-8
2022-03-31,$-12
2021-12-31,$2
2021-09-30,$-84
2021-06-30,$57
2021-03-31,$-214
2020-12-31,
2020-09-30,$-3
2020-06-30,$-3
2020-03-31,$34
2019-12-31,
2019-09-30,$10
2019-06-30,$-12
2019-03-31,$8
2018-12-31,
2018-09-30,$13
2018-06-30,$-8
2018-03-31,$13
2017-12-31,
2017-09-30,$32
2017-06-30,$-6
2017-03-31,$21
2016-12-31,
2016-09-30,$9
2016-06-30,$6
2016-03-31,$50
2015-12-31,
2015-09-30,$27
2015-06-30,$13
2015-03-31,$61
2014-12-31,
2014-09-30,$88
2014-06-30,$-1
2014-03-31,$50
2013-12-31,
2013-09-30,$15
2013-06-30,$11
2013-03-31,$46
2012-12-31,
2012-09-30,$9
2012-06-30,$9
2012-03-31,$39
2011-12-31,
2011-09-30,$34
2011-06-30,$14
2011-03-31,$56
2010-12-31,
2010-09-30,$19
2010-06-30,$11
2010-03-31,$59
2009-12-31,
2009-09-30,$26
2009-06-30,$14
2009-03-31,$62
