PennantPark Investment Quarterly Net Income (Millions of US $),PennantPark Investment Quarterly Net Income (Millions of US $).1
2024-12-31,$16
2024-09-30,$18
2024-06-30,$4
2024-03-31,$16
2023-12-31,$11
2023-09-30,$12
2023-06-30,$21
2023-03-31,$5
2022-12-31,$-72
2022-09-30,$-35
2022-06-30,$-18
2022-03-31,$3
2021-12-31,$26
2021-09-30,$25
2021-06-30,$32
2021-03-31,$38
2020-12-31,$71
2020-09-30,$10
2020-06-30,$16
2020-03-31,$-60
2019-12-31,$19
2019-09-30,$8
2019-06-30,$6
2019-03-31,$-5
2018-12-31,$7
2018-09-30,$12
2018-06-30,$17
2018-03-31,$6
2017-12-31,$12
2017-09-30,$7
2017-06-30,$19
2017-03-31,$11
2016-12-31,$24
2016-09-30,$28
2016-06-30,$28
2016-03-31,$4
2015-12-31,$-41
2015-09-30,$1
2015-06-30,$5
2015-03-31,$7
2014-12-31,$-24
2014-09-30,$-1
2014-06-30,$32
2014-03-31,$41
2013-12-31,$39
2013-09-30,$22
2013-06-30,$14
2013-03-31,$27
2012-12-31,$29
2012-09-30,$18
2012-06-30,$3
2012-03-31,$26
2011-12-31,$16
2011-09-30,$-31
2011-06-30,$2
2011-03-31,$14
2010-12-31,$26
2010-09-30,$7
2010-06-30,$4
2010-03-31,$-3
2009-12-31,$9
2009-09-30,$26
2009-06-30,$-1
2009-03-31,$42
