New Concept Energy Price to Free Cash Flow Ratio Historical Data,New Concept Energy Price to Free Cash Flow Ratio Historical Data,New Concept Energy Price to Free Cash Flow Ratio Historical Data,New Concept Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.88,,0.0
2024-09-30,1.15,$-0.01,0.0
2024-06-30,1.6,$-0.00,0.0
2024-03-31,1.05,$-0.01,0.0
2023-12-31,1.0,$0.00,0.0
2023-09-30,1.15,$0.01,95.83
2023-06-30,1.22,$0.01,104.26
2023-03-31,1.06,$0.04,29.69
2022-12-31,1.09,$0.04,30.36
2022-09-30,1.12,$0.00,0.0
2022-06-30,1.54,$-0.00,0.0
2022-03-31,2.84,$0.02,145.64
2021-12-31,2.38,$0.02,99.17
2021-09-30,4.26,$0.15,29.08
2021-06-30,6.1,$0.04,147.34
2021-03-31,4.29,$0.01,0.0
2020-12-31,1.94,$-0.00,0.0
2020-09-30,1.43,$-0.22,0.0
2020-06-30,1.23,$-0.02,0.0
2020-03-31,0.74,$-0.09,0.0
2019-12-31,1.23,$-0.06,0.0
2019-09-30,1.65,$-0.16,0.0
2019-06-30,1.84,$-0.18,0.0
2019-03-31,2.24,$-0.25,0.0
2018-12-31,1.4,$-0.27,0.0
2018-09-30,2.37,$-0.14,0.0
2018-06-30,4.22,$-0.21,0.0
2018-03-31,1.35,$-0.12,0.0
2017-12-31,1.56,$0.10,15.03
2017-09-30,1.3,$0.32,4.12
2017-06-30,1.39,$0.34,4.1
2017-03-31,1.8,$0.34,5.31
2016-12-31,2.16,$0.17,12.59
2016-09-30,2.99,$0.06,46.57
2016-06-30,1.81,$0.13,13.98
2016-03-31,0.84,$0.31,2.73
2015-12-31,1.08,$0.33,3.23
2015-09-30,1.32,$0.37,3.56
2015-06-30,1.51,$0.34,4.5
2015-03-31,2.01,$0.10,19.21
2014-12-31,1.51,$-0.23,0.0
2014-09-30,1.56,$-0.02,0.0
2014-06-30,3.31,$0.07,44.43
2014-03-31,1.95,$0.33,5.95
2013-12-31,1.82,$0.74,2.46
2013-09-30,1.23,$0.58,2.13
2013-06-30,1.05,$0.54,1.96
2013-03-31,1.33,$0.36,3.66
2012-12-31,1.22,$0.20,6.01
2012-09-30,1.07,$0.10,10.42
2012-06-30,1.03,$0.11,9.55
2012-03-31,2.76,$0.08,33.82
2011-12-31,2.25,$0.16,14.41
2011-09-30,2.38,$0.84,2.85
2011-06-30,2.6,$0.75,3.45
2011-03-31,3.69,$0.09,41.51
2010-12-31,4.06,$0.03,140.97
2010-09-30,2.61,$-0.57,0.0
2010-06-30,3.59,$-0.37,0.0
2010-03-31,4.31,$0.33,13.01
2009-12-31,5.15,$0.32,15.94
