Athira Pharma Price to Free Cash Flow Ratio Historical Data,Athira Pharma Price to Free Cash Flow Ratio Historical Data,Athira Pharma Price to Free Cash Flow Ratio Historical Data,Athira Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.33,,0.0
2024-12-31,0.59,$-2.53,0.0
2024-09-30,0.45,$-2.54,0.0
2024-06-30,2.65,$-2.58,0.0
2024-03-31,2.74,$-2.63,0.0
2023-12-31,2.43,$-2.66,0.0
2023-09-30,2.02,$-2.38,0.0
2023-06-30,2.95,$-2.33,0.0
2023-03-31,2.5,$-2.19,0.0
2022-12-31,3.17,$-1.95,0.0
2022-09-30,2.97,$-2.06,0.0
2022-06-30,3.05,$-1.76,0.0
2022-03-31,13.5,$-1.46,0.0
2021-12-31,13.03,$-1.21,0.0
2021-09-30,9.38,$-1.11,0.0
2021-06-30,10.24,$-2.61,0.0
