L3Harris Technologies Inc Price to Free Cash Flow Ratio Historical Data,L3Harris Technologies Inc Price to Free Cash Flow Ratio Historical Data,L3Harris Technologies Inc Price to Free Cash Flow Ratio Historical Data,L3Harris Technologies Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,209.89,,18.6
2024-12-31,210.28,$11.28,18.63
2024-09-30,237.87,$10.14,23.46
2024-06-30,223.44,$8.53,26.19
2024-03-31,212.02,$6.33,33.51
2023-12-31,209.55,$8.93,23.45
2023-09-30,173.24,$9.23,18.77
2023-06-30,193.53,$9.88,19.59
2023-03-31,192.75,$11.46,16.81
2022-12-31,204.51,$9.92,20.61
2022-09-30,203.11,$18.12,11.21
2022-06-30,235.05,$17.54,13.4
2022-03-31,240.52,$17.14,14.03
2021-12-31,206.42,$20.08,10.28
2021-09-30,213.19,$11.07,19.25
2021-06-30,209.23,$12.12,17.26
2021-03-31,195.28,$12.29,15.89
2020-12-31,181.14,$11.64,15.56
2020-09-30,162.05,$5.99,27.06
2020-06-30,161.89,$5.63,28.74
