Federal Agricultural Mortgage Price to Free Cash Flow Ratio Historical Data,Federal Agricultural Mortgage Price to Free Cash Flow Ratio Historical Data,Federal Agricultural Mortgage Price to Free Cash Flow Ratio Historical Data,Federal Agricultural Mortgage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,192.54,,3.48
2024-12-31,196.95,$55.34,3.56
2024-09-30,186.17,$6.62,28.12
2024-06-30,178.29,$43.85,4.07
2024-03-31,192.53,$49.94,3.86
2023-12-31,185.59,$34.36,5.4
2023-09-30,148.86,$59.02,2.52
2023-06-30,137.76,$42.40,3.25
2023-03-31,126.71,$55.17,2.3
2022-12-31,106.3,$74.36,1.43
2022-09-30,92.75,$65.23,1.42
2022-06-30,90.53,$60.44,1.5
2022-03-31,99.54,$28.21,3.53
2021-12-31,112.88,$40.24,2.81
2021-09-30,98.11,$52.28,1.88
2021-06-30,88.61,$48.11,1.84
2021-03-31,89.47,$58.82,1.52
2020-12-31,65.38,$-8.38,0.0
2020-09-30,55.47,$-9.71,0.0
2020-06-30,55.11,$-20.76,0.0
2020-03-31,47.32,$-33.98,0.0
2019-12-31,70.03,$-1.83,0.0
2019-09-30,67.9,$-17.67,0.0
2019-06-30,59.94,$-5.83,0.0
2019-03-31,59.17,$9.37,6.31
2018-12-31,48.93,$18.63,2.63
2018-09-30,57.85,$25.29,2.29
2018-06-30,71.19,$23.08,3.08
2018-03-31,68.79,$18.34,3.75
2017-12-31,61.45,$16.95,3.63
2017-09-30,56.85,$23.59,2.41
2017-06-30,50.29,$25.13,2.0
2017-03-31,44.5,$24.55,1.81
2016-12-31,44.01,$19.82,2.22
2016-09-30,30.22,$13.05,2.32
2016-06-30,26.46,$10.10,2.62
2016-03-31,28.46,$13.35,2.13
2015-12-31,23.65,$16.35,1.45
2015-09-30,19.32,$-132.60,0.0
2015-06-30,21.52,$-132.01,0.0
2015-03-31,20.77,$13.50,1.54
2014-12-31,22.25,$13.81,1.61
2014-09-30,23.45,$163.43,0.14
2014-06-30,22.58,$168.28,0.13
2014-03-31,24.05,$23.79,1.01
2013-12-31,24.67,$28.37,0.87
2013-09-30,23.95,$21.53,1.11
2013-06-30,20.65,$19.52,1.06
2013-03-31,21.92,$9.28,2.36
2012-12-31,23.06,$3.21,7.19
2012-09-30,18.2,$9.61,1.9
2012-06-30,18.48,$4.08,4.53
2012-03-31,15.93,$9.23,1.73
2011-12-31,12.59,$2.87,4.38
2011-09-30,13.25,$-20.17,0.0
2011-06-30,15.36,$-29.10,0.0
2011-03-31,13.24,$-42.92,0.0
2010-12-31,11.25,$-50.66,0.0
2010-09-30,7.43,$-27.58,0.0
2010-06-30,9.59,$-17.71,0.0
2010-03-31,7.72,$-0.22,0.0
2009-12-31,4.73,$11.16,0.42
