General Mills Price to Free Cash Flow Ratio Historical Data,General Mills Price to Free Cash Flow Ratio Historical Data,General Mills Price to Free Cash Flow Ratio Historical Data,General Mills Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,58.31,,13.31
2025-02-28,60.62,$4.38,13.83
2024-11-30,66.26,$4.94,13.43
2024-08-31,71.69,$4.82,14.86
2024-05-31,67.53,$4.36,15.47
2024-02-29,62.52,$4.09,15.29
2023-11-30,61.45,$3.92,15.68
2023-08-31,64.7,$3.39,19.11
2023-05-31,79.85,$3.48,22.96
2023-02-28,74.97,$4.22,17.76
2022-11-30,79.92,$4.03,19.84
2022-08-31,71.44,$4.55,15.7
2022-05-31,64.51,$4.49,14.37
2022-02-28,61.83,$4.02,15.37
2021-11-30,56.22,$4.10,13.7
2021-08-31,52.18,$3.64,14.33
2021-05-31,56.26,$3.96,14.2
2021-02-28,48.82,$5.17,9.45
2020-11-30,53.51,$5.06,10.57
2020-08-31,55.8,$5.18,10.78
2020-05-31,54.58,$5.25,10.4
2020-02-29,42.05,$4.09,10.27
2019-11-30,45.34,$3.98,11.38
2019-08-31,45.33,$3.77,12.01
2019-05-31,41.28,$3.77,10.94
2019-02-28,38.98,$3.57,10.92
2018-11-30,34.57,$3.45,10.03
2018-08-31,37.18,$3.80,9.78
2018-05-31,33.8,$3.79,8.92
2018-02-28,39.96,$3.88,10.3
2017-11-30,44.35,$3.89,11.41
2017-08-31,41.36,$3.35,12.33
2017-05-31,43.67,$2.90,15.05
2017-02-28,46.08,$3.05,15.09
2016-11-30,46.15,$3.19,14.46
2016-08-31,53.23,$3.23,16.5
2016-05-31,46.87,$3.33,14.06
2016-02-29,43.62,$3.51,12.42
2015-11-30,42.47,$3.50,12.13
2015-08-31,41.41,$3.15,13.15
2015-05-31,40.65,$2.98,13.66
2015-02-28,38.64,$2.61,14.79
2014-11-30,37.6,$2.66,14.13
2014-08-31,37.74,$2.81,13.42
2014-05-31,38.54,$2.92,13.21
2014-02-28,34.83,$2.92,11.92
2013-11-30,34.83,$3.06,11.38
2013-08-31,33.79,$3.38,9.99
2013-05-31,32.01,$3.51,9.12
2013-02-28,31.24,$3.38,9.23
2012-11-30,27.46,$2.85,9.64
2012-08-31,26.14,$2.66,9.83
2012-05-31,25.22,$2.60,9.7
2012-02-29,25.05,$1.94,12.94
2011-11-30,25.92,$2.19,11.84
2011-08-31,24.4,$1.73,14.14
2011-05-31,25.39,$1.33,19.04
2011-02-28,23.53,$1.92,12.23
2010-11-30,22.21,$1.74,12.78
2010-08-31,22.56,$2.17,10.38
2010-05-31,22.05,$2.33,9.45
2010-02-28,22.14,$2.36,9.37
2009-11-30,20.77,$2.93,7.09
