Fundamental Global Price to Free Cash Flow Ratio Historical Data,Fundamental Global Price to Free Cash Flow Ratio Historical Data,Fundamental Global Price to Free Cash Flow Ratio Historical Data,Fundamental Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.5,,168.03
2024-09-30,26.25,$0.11,238.42
2024-06-30,23.69,$-5.75,0.0
2024-03-31,34.5,$-10.52,0.0
2023-12-31,40.0,$-10.55,0.0
2023-09-30,35.0,$-32.40,0.0
2023-06-30,46.25,$-37.59,0.0
2023-03-31,65.5,$-32.39,0.0
2022-12-31,71.25,$-34.57,0.0
2022-09-30,40.5,$-28.24,0.0
2022-06-30,36.5,$-43.86,0.0
2022-03-31,68.01,$-54.88,0.0
2021-12-31,94.0,$-69.15,0.0
2021-09-30,121.75,$-59.73,0.0
2021-06-30,234.75,$-69.07,0.0
2021-03-31,116.25,$-65.18,0.0
2020-12-31,105.5,$-49.15,0.0
2020-09-30,96.25,$-100.93,0.0
2020-06-30,111.5,$-95.12,0.0
2020-03-31,122.0,$-94.92,0.0
2019-12-31,138.0,$-85.73,0.0
2019-09-30,110.25,$-16.66,0.0
2019-06-30,123.75,$31.40,3.94
2019-03-31,131.5,$61.82,2.13
2018-12-31,100.5,$98.94,1.02
2018-09-30,167.5,$104.92,1.6
2018-06-30,177.5,$66.54,2.67
2018-03-31,178.75,$71.07,2.52
2017-12-31,181.25,$31.22,5.81
2017-09-30,192.45,$23.04,8.35
2017-06-30,199.38,$31.15,6.4
2017-03-31,202.5,$21.37,9.47
2016-12-31,195.0,$13.60,14.34
2016-09-30,156.1,$8.75,17.83
2016-06-30,159.75,$21.52,7.42
2016-03-31,148.5,$14.08,10.55
2015-12-31,191.25,$21.35,8.96
2015-09-30,182.5,$57.94,3.15
2015-06-30,203.75,$30.54,6.67
2015-03-31,189.75,$75.11,2.53
