Herc Holdings Price to Free Cash Flow Ratio Historical Data,Herc Holdings Price to Free Cash Flow Ratio Historical Data,Herc Holdings Price to Free Cash Flow Ratio Historical Data,Herc Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,135.04,,12.26
2024-12-31,189.33,$11.02,17.18
2024-09-30,158.9,$12.26,12.96
2024-06-30,132.25,$7.89,16.76
2024-03-31,166.98,$4.15,40.23
2023-12-31,147.06,$-1.74,0.0
2023-09-30,116.88,$-6.28,0.0
2023-06-30,133.82,$-6.18,0.0
2023-03-31,110.7,$-6.03,0.0
2022-12-31,127.31,$-7.52,0.0
2022-09-30,100.08,$-4.30,0.0
2022-06-30,86.45,$-3.38,0.0
2022-03-31,159.44,$0.49,322.69
2021-12-31,148.83,$7.04,21.14
2021-09-30,154.97,$10.16,15.25
2021-06-30,106.25,$13.48,7.88
2021-03-31,96.07,$15.48,6.2
2020-12-31,62.96,$14.44,4.36
2020-09-30,37.55,$11.84,3.17
2020-06-30,29.13,$7.30,3.99
2020-03-31,19.4,$3.51,5.53
2019-12-31,46.4,$5.92,7.84
2019-09-30,44.09,$5.58,7.91
2019-06-30,43.45,$2.83,15.35
2019-03-31,36.96,$0.45,82.12
2018-12-31,24.64,$-0.27,0.0
2018-09-30,48.54,$-4.63,0.0
2018-06-30,53.41,$-2.07,0.0
2018-03-31,61.58,$-1.24,0.0
2017-12-31,59.36,$-2.13,0.0
2017-09-30,46.58,$-4.09,0.0
2017-06-30,37.28,$2.41,15.47
