Oak Valley Bancorp (CA) Price to Free Cash Flow Ratio Historical Data,Oak Valley Bancorp (CA) Price to Free Cash Flow Ratio Historical Data,Oak Valley Bancorp (CA) Price to Free Cash Flow Ratio Historical Data,Oak Valley Bancorp (CA) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.33,,6.99
2024-09-30,26.57,$3.48,7.63
2024-06-30,24.76,$2.57,9.63
2024-03-31,24.58,$3.33,7.37
2023-12-31,29.46,$3.79,7.78
2023-09-30,24.67,$3.64,6.77
2023-06-30,24.63,$4.45,5.53
2023-03-31,23.14,$3.80,6.08
2022-12-31,22.01,$2.63,8.35
2022-09-30,17.36,$1.35,12.84
2022-06-30,16.57,$0.98,16.96
2022-03-31,17.78,$0.67,26.68
2021-12-31,16.63,$1.25,13.32
2021-09-30,16.76,$1.98,8.48
2021-06-30,17.22,$1.64,10.49
2021-03-31,16.25,$2.53,6.42
2020-12-31,15.61,$2.15,7.26
2020-09-30,10.76,$2.41,4.46
2020-06-30,11.78,$2.72,4.33
2020-03-31,14.62,$1.43,10.19
2019-12-31,17.94,$1.95,9.2
2019-09-30,15.46,$1.71,9.06
2019-06-30,17.9,$1.67,10.69
2019-03-31,16.15,$2.07,7.8
2018-12-31,16.63,$1.58,10.52
2018-09-30,17.85,$1.36,13.15
2018-06-30,20.66,$0.83,24.76
2018-03-31,20.14,$1.00,20.17
2017-12-31,17.54,$0.94,18.67
2017-09-30,15.08,$1.15,13.11
2017-06-30,12.38,$1.39,8.92
2017-03-31,11.76,$1.29,9.11
2016-12-31,11.08,$1.14,9.69
2016-09-30,9.01,$0.79,11.35
2016-06-30,8.51,$0.77,11.12
2016-03-31,8.09,$0.49,16.68
2015-12-31,8.96,$0.36,24.85
2015-09-30,8.15,$0.63,12.97
2015-06-30,8.4,$0.66,12.75
2015-03-31,8.4,$0.71,11.8
2014-12-31,8.57,$0.73,11.7
2014-09-30,8.46,$0.70,12.02
2014-06-30,8.32,$0.79,10.58
2014-03-31,7.89,$0.84,9.34
2013-12-31,6.93,$0.90,7.69
2013-09-30,6.6,$0.76,8.68
2013-06-30,6.35,$1.01,6.28
2013-03-31,6.74,$1.07,6.31
2012-12-31,6.17,$1.06,5.82
2012-09-30,6.21,$1.16,5.37
2012-06-30,5.77,$0.88,6.56
2012-03-31,6.12,$0.70,8.76
2011-12-31,5.59,$0.75,7.47
2011-09-30,3.36,$-0.47,0.0
2011-06-30,4.85,$0.69,7.01
2011-03-31,4.96,$0.95,5.25
2010-12-31,4.89,$0.92,5.32
2010-09-30,4.47,$2.40,1.87
2010-06-30,4.35,$1.30,3.34
2010-03-31,3.4,$1.22,2.78
2009-12-31,3.65,$1.29,2.84
