Hovnanian Enterprises Inc Price to Free Cash Flow Ratio Historical Data,Hovnanian Enterprises Inc Price to Free Cash Flow Ratio Historical Data,Hovnanian Enterprises Inc Price to Free Cash Flow Ratio Historical Data,Hovnanian Enterprises Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,111.25,,17.56
2025-01-31,132.39,$6.34,20.89
2024-10-31,176.04,$1.03,171.33
2024-07-31,209.89,$6.33,33.17
2024-04-30,147.83,$52.54,2.81
2024-01-31,168.97,$54.56,3.1
2023-10-31,69.48,$62.77,1.11
2023-07-31,106.62,$58.70,1.82
2023-04-30,73.77,$30.81,2.39
2023-01-31,57.88,$24.22,2.39
2022-10-31,40.33,$11.44,3.53
2022-07-31,48.51,$14.08,3.44
2022-04-30,46.02,$19.49,2.36
2022-01-31,96.88,$28.84,3.36
2021-10-31,84.26,$31.95,2.64
2021-07-31,104.39,$26.97,3.87
2021-04-30,132.59,$33.91,3.91
2021-01-31,51.16,$24.55,2.08
2020-10-31,31.76,$43.98,0.72
2020-07-31,23.3,$30.52,0.76
2020-04-30,12.62,$3.38,3.73
2020-01-31,25.56,$-17.38,0.0
2019-10-31,25.08,$-42.41,0.0
2019-07-31,6.0,$-38.78,0.0
2019-04-30,15.22,$-33.36,0.0
2019-01-31,17.65,$-17.55,0.0
2018-10-31,36.5,$-5.55,0.0
2018-07-31,39.25,$15.69,2.5
2018-04-30,50.25,$25.01,2.01
2018-01-31,50.75,$37.01,1.37
2017-10-31,60.5,$49.99,1.21
2017-07-31,55.0,$55.94,0.98
2017-04-30,58.5,$89.05,0.66
2017-01-31,59.25,$79.95,0.74
2016-10-31,39.0,$64.39,0.61
2016-07-31,46.0,$34.27,1.34
2016-04-30,41.75,$-16.58,0.0
2016-01-31,38.5,$-32.48,0.0
2015-10-31,51.5,$-54.63,0.0
2015-07-31,50.5,$-46.20,0.0
2015-04-30,78.0,$-41.45,0.0
2015-01-31,86.0,$-40.73,0.0
2014-10-31,94.0,$-29.78,0.0
2014-07-31,100.0,$-31.54,0.0
2014-04-30,111.5,$-28.01,0.0
2014-01-31,150.75,$-21.09,0.0
2013-10-31,126.5,$2.32,54.47
2013-07-31,133.75,$-8.46,0.0
2013-04-30,136.25,$-6.52,0.0
2013-01-31,142.75,$-2.73,0.0
2012-10-31,107.5,$-13.62,0.0
2012-07-31,58.0,$-21.86,0.0
2012-04-30,50.0,$-37.67,0.0
2012-01-31,60.5,$-62.25,0.0
2011-10-31,36.0,$-51.50,0.0
2011-07-31,48.0,$-60.41,0.0
2011-04-30,80.25,$-52.92,0.0
2011-01-31,110.5,$26.60,4.15
2010-10-31,89.0,$9.57,9.3
2010-07-31,109.25,$1.78,61.3
2010-04-30,177.75,$-2.51,0.0
2010-01-31,91.0,$-35.14,0.0
2009-10-31,97.75,$-9.40,0.0
