Markforged Holding Price to Free Cash Flow Ratio Historical Data,Markforged Holding Price to Free Cash Flow Ratio Historical Data,Markforged Holding Price to Free Cash Flow Ratio Historical Data,Markforged Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.74,,0.0
2024-09-30,4.77,$-2.39,0.0
2024-06-30,0.41,$-2.15,0.0
2024-03-31,0.84,$-2.22,0.0
2023-12-31,0.82,$-2.66,0.0
2023-09-30,1.45,$-2.86,0.0
2023-06-30,1.21,$-3.87,0.0
2023-03-31,0.96,$-4.31,0.0
2022-12-31,1.16,$-4.48,0.0
2022-09-30,1.98,$-5.64,0.0
2022-06-30,1.85,$-2.25,0.0
2022-03-31,3.99,$-3.63,0.0
2021-12-31,5.37,$-4.34,0.0
2021-09-30,6.56,$-2.46,0.0
