Dakota Gold Price to Free Cash Flow Ratio Historical Data,Dakota Gold Price to Free Cash Flow Ratio Historical Data,Dakota Gold Price to Free Cash Flow Ratio Historical Data,Dakota Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.07,,0.0
2024-09-30,2.36,$-0.34,0.0
2024-06-30,2.55,$-0.36,0.0
2024-03-31,2.37,$-0.41,0.0
2023-12-31,2.62,$-0.41,0.0
2023-09-30,2.58,$-0.37,0.0
2023-06-30,2.92,$-0.36,0.0
2023-03-31,3.62,$-0.37,0.0
