LifeStance Health Price to Free Cash Flow Ratio Historical Data,LifeStance Health Price to Free Cash Flow Ratio Historical Data,LifeStance Health Price to Free Cash Flow Ratio Historical Data,LifeStance Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.82,,30.18
2024-12-31,7.37,$0.23,32.61
2024-09-30,7.0,$0.09,77.43
2024-06-30,4.91,$-0.05,0.0
2024-03-31,6.17,$-0.18,0.0
2023-12-31,7.83,$-0.16,0.0
2023-09-30,6.87,$-0.10,0.0
2023-06-30,9.13,$-0.03,0.0
2023-03-31,7.43,$-0.05,0.0
2022-12-31,4.94,$-0.07,0.0
2022-09-30,6.62,$-0.18,0.0
2022-06-30,5.56,$-0.26,0.0
2022-03-31,10.11,$-0.33,0.0
