AstroNova Price to Free Cash Flow Ratio Historical Data,AstroNova Price to Free Cash Flow Ratio Historical Data,AstroNova Price to Free Cash Flow Ratio Historical Data,AstroNova Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.07,,0.0
2024-10-31,12.66,$-1.44,0.0
2024-07-31,15.82,$-0.97,0.0
2024-04-30,17.27,$2.02,8.53
2024-01-31,17.63,$1.53,11.51
2023-10-31,13.58,$1.23,11.05
2023-07-31,14.23,$0.68,20.87
2023-04-30,14.71,$0.15,101.38
2023-01-31,13.25,$-0.43,0.0
2022-10-31,11.85,$-1.42,0.0
2022-07-31,12.15,$-1.19,0.0
2022-04-30,13.47,$-0.74,0.0
2022-01-31,13.74,$-0.05,0.0
2021-10-31,16.5,$0.80,20.61
2021-07-31,16.05,$1.28,12.53
2021-04-30,14.66,$1.88,7.81
2021-01-31,10.75,$1.81,5.95
2020-10-31,7.9,$1.57,5.02
2020-07-31,6.88,$1.23,5.58
2020-04-30,7.03,$0.38,18.41
2020-01-31,12.34,$0.04,281.02
2019-10-31,15.65,$0.05,330.84
2019-07-31,23.76,$0.63,37.82
2019-04-30,24.52,$0.70,35.04
2019-01-31,19.51,$0.33,58.56
2018-10-31,18.8,$0.27,70.79
2018-07-31,17.55,$-0.25,0.0
2018-04-30,17.25,$0.05,320.02
2018-01-31,12.99,$0.22,59.93
2017-10-31,12.06,$0.01,0.0
2017-07-31,13.14,$0.39,33.59
2017-04-30,14.02,$0.31,45.58
2017-01-31,13.07,$0.82,15.99
2016-10-31,13.7,$0.66,20.79
2016-07-31,14.84,$1.00,14.9
2016-04-30,13.34,$0.90,14.79
2016-01-31,14.52,$0.85,17.04
2015-10-31,12.42,$0.91,13.68
2015-07-31,12.66,$0.73,17.27
2015-04-30,12.76,$0.57,22.4
2015-01-31,13.56,$-0.10,0.0
2014-10-31,11.98,$0.07,160.33
2014-07-31,12.07,$-0.32,0.0
2014-04-30,11.23,$-0.12,0.0
2014-01-31,12.14,$-0.73,0.0
2013-10-31,11.2,$1.55,7.24
2013-07-31,10.0,$1.69,5.93
2013-04-30,8.61,$1.57,5.49
2013-01-31,8.68,$2.65,3.28
2012-10-31,7.2,$0.50,14.48
2012-07-31,6.92,$0.61,11.36
2012-04-30,7.1,$0.56,12.68
2012-01-31,6.71,$0.58,11.57
2011-10-31,6.59,$0.44,15.12
2011-07-31,6.46,$0.13,49.28
2011-04-30,6.31,$0.01,0.0
2011-01-31,6.3,$-0.10,0.0
2010-10-31,5.59,$0.09,60.19
2010-07-31,5.46,$0.38,14.51
2010-04-30,6.01,$0.54,11.05
2010-01-31,5.6,$0.57,9.78
2009-10-31,4.75,$1.07,4.42
