VTv Therapeutics Price to Free Cash Flow Ratio Historical Data,VTv Therapeutics Price to Free Cash Flow Ratio Historical Data,VTv Therapeutics Price to Free Cash Flow Ratio Historical Data,VTv Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.61,,0.0
2024-12-31,13.81,$-4.39,0.0
2024-09-30,13.57,$-5.15,0.0
2024-06-30,17.66,$-5.91,0.0
2024-03-31,23.53,$-8.45,0.0
2023-12-31,11.5,$-9.15,0.0
2023-09-30,19.12,$-11.56,0.0
2023-06-30,29.59,$-13.60,0.0
2023-03-31,32.31,$-10.22,0.0
2022-12-31,26.51,$-8.36,0.0
2022-09-30,38.8,$-8.44,0.0
2022-06-30,30.0,$-6.18,0.0
2022-03-31,28.88,$-9.19,0.0
2021-12-31,39.8,$-12.33,0.0
2021-09-30,61.2,$-10.63,0.0
2021-06-30,91.2,$-12.55,0.0
2021-03-31,112.8,$-13.91,0.0
2020-12-31,74.4,$-15.27,0.0
2020-09-30,70.8,$-22.21,0.0
2020-06-30,90.0,$-23.53,0.0
2020-03-31,76.4,$-25.66,0.0
2019-12-31,68.0,$-30.08,0.0
2019-09-30,62.0,$-39.03,0.0
2019-06-30,57.2,$-43.32,0.0
2019-03-31,68.4,$-73.60,0.0
2018-12-31,106.0,$-86.27,0.0
2018-09-30,30.8,$-94.39,0.0
2018-06-30,61.6,$-133.23,0.0
2018-03-31,162.8,$-149.02,0.0
2017-12-31,240.4,$-183.99,0.0
2017-09-30,239.2,$-207.98,0.0
2017-06-30,198.8,$-210.74,0.0
2017-03-31,262.0,$-205.35,0.0
2016-12-31,193.2,$-202.35,0.0
2016-09-30,287.6,$-196.15,0.0
2016-06-30,232.0,$-279.87,0.0
