Corvus Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Corvus Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Corvus Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Corvus Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.21,,0.0
2024-09-30,5.28,$-0.37,0.0
2024-06-30,1.82,$-0.40,0.0
2024-03-31,1.78,$-0.43,0.0
2023-12-31,1.76,$-0.50,0.0
2023-09-30,1.46,$-0.55,0.0
2023-06-30,2.29,$-0.60,0.0
2023-03-31,0.91,$-0.62,0.0
2022-12-31,0.85,$-0.59,0.0
2022-09-30,0.82,$-0.62,0.0
2022-06-30,0.99,$-0.64,0.0
2022-03-31,1.64,$-0.76,0.0
2021-12-31,2.41,$-0.88,0.0
2021-09-30,4.84,$-0.96,0.0
2021-06-30,2.67,$-1.05,0.0
2021-03-31,3.08,$-1.12,0.0
2020-12-31,3.56,$-1.18,0.0
2020-09-30,4.01,$-1.19,0.0
2020-06-30,2.72,$-1.29,0.0
2020-03-31,2.11,$-1.28,0.0
2019-12-31,5.44,$-1.27,0.0
2019-09-30,3.01,$-1.35,0.0
2019-06-30,3.74,$-1.37,0.0
2019-03-31,4.02,$-1.32,0.0
2018-12-31,3.67,$-1.50,0.0
2018-09-30,8.58,$-1.67,0.0
2018-06-30,10.98,$-1.82,0.0
2018-03-31,11.53,$-2.13,0.0
2017-12-31,10.36,$-2.27,0.0
2017-09-30,15.94,$-2.69,0.0
2017-06-30,12.1,$-2.49,0.0
2017-03-31,20.77,$2.73,7.61
2016-12-31,14.3,$-1.95,0.0
