Customers Bancorp Price to Free Cash Flow Ratio Historical Data,Customers Bancorp Price to Free Cash Flow Ratio Historical Data,Customers Bancorp Price to Free Cash Flow Ratio Historical Data,Customers Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.23,,11.67
2024-12-31,48.68,$4.39,11.09
2024-09-30,46.45,$-3.35,0.0
2024-06-30,47.98,$0.07,671.99
2024-03-31,53.06,$2.74,19.36
2023-12-31,57.62,$3.86,14.91
2023-09-30,34.45,$-1.46,0.0
2023-06-30,30.26,$-2.29,0.0
2023-03-31,18.52,$-3.60,0.0
2022-12-31,28.34,$-0.74,0.0
2022-09-30,29.48,$8.92,3.31
2022-06-30,33.9,$5.12,6.62
2022-03-31,52.14,$6.06,8.6
2021-12-31,65.37,$8.75,7.47
2021-09-30,43.02,$9.96,4.32
2021-06-30,38.99,$11.37,3.43
2021-03-31,31.82,$11.47,2.77
2020-12-31,18.18,$4.06,4.48
2020-09-30,10.13,$3.39,2.99
2020-06-30,10.87,$2.82,3.86
2020-03-31,9.88,$0.40,24.47
2019-12-31,21.52,$1.28,16.82
2019-09-30,18.75,$-0.37,0.0
2019-06-30,18.98,$-0.20,0.0
2019-03-31,16.55,$0.50,33.03
2018-12-31,16.45,$1.88,8.74
2018-09-30,21.27,$2.62,8.11
2018-06-30,25.66,$2.67,9.61
2018-03-31,26.35,$1.55,16.98
2017-12-31,23.5,$1.21,19.38
2017-09-30,29.49,$21.73,1.36
2017-06-30,25.57,$19.93,1.28
2017-03-31,28.5,$9.61,2.97
2016-12-31,32.38,$2.90,11.17
2016-09-30,22.75,$-5.03,0.0
2016-06-30,22.72,$6.07,3.74
2016-03-31,21.36,$7.84,2.73
2015-12-31,24.61,$2.53,9.73
2015-09-30,23.23,$-13.69,0.0
2015-06-30,24.31,$-29.26,0.0
2015-03-31,22.02,$-33.40,0.0
2014-12-31,17.59,$-19.09,0.0
2014-09-30,16.24,$-7.97,0.0
2014-06-30,18.09,$17.30,1.05
2014-03-31,17.15,$27.59,0.62
2013-12-31,16.81,$28.93,0.58
2013-09-30,13.23,$9.52,1.39
2013-06-30,13.36,$-71.71,0.0
2013-03-31,13.77,$-77.55,0.0
2012-12-31,11.92,$-81.28,0.0
