Gaia Price to Free Cash Flow Ratio Historical Data,Gaia Price to Free Cash Flow Ratio Historical Data,Gaia Price to Free Cash Flow Ratio Historical Data,Gaia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.18,,50.24
2024-12-31,4.49,$0.08,53.97
2024-09-30,4.87,$0.06,84.26
2024-06-30,4.41,$0.12,38.21
2024-03-31,3.08,$0.27,11.29
2023-12-31,2.7,$0.03,97.47
2023-09-30,2.72,$-0.05,0.0
2023-06-30,2.31,$-0.20,0.0
2023-03-31,2.78,$-0.31,0.0
2022-12-31,2.38,$-0.33,0.0
2022-09-30,2.43,$-0.17,0.0
2022-06-30,4.25,$0.00,0.0
2022-03-31,4.92,$0.11,44.81
2021-12-31,8.57,$0.18,48.2
2021-09-30,9.48,$0.15,62.78
2021-06-30,10.99,$0.79,13.94
2021-03-31,11.89,$0.70,16.94
2020-12-31,9.88,$0.59,16.62
2020-09-30,9.83,$0.47,21.01
2020-06-30,8.38,$-0.51,0.0
2020-03-31,8.88,$-0.83,0.0
2019-12-31,7.99,$-1.17,0.0
2019-09-30,6.54,$-1.96,0.0
2019-06-30,7.58,$-2.26,0.0
2019-03-31,9.15,$-2.31,0.0
2018-12-31,10.36,$-2.33,0.0
2018-09-30,15.4,$-2.12,0.0
2018-06-30,20.25,$-1.97,0.0
2018-03-31,15.5,$-2.08,0.0
2017-12-31,12.4,$-2.20,0.0
2017-09-30,12.0,$-1.80,0.0
2017-06-30,11.2,$-2.48,0.0
2017-03-31,9.95,$-1.72,0.0
2016-12-31,8.65,$-1.11,0.0
2016-09-30,7.2,$-0.83,0.0
2016-06-30,7.74,$0.33,23.31
2016-03-31,6.4,$0.00,0.0
2015-12-31,6.24,$0.05,125.81
2015-09-30,6.15,$0.68,9.01
2015-06-30,6.54,$0.40,16.49
2015-03-31,7.29,$0.46,15.86
2014-12-31,7.13,$0.22,32.13
2014-09-30,7.34,$-0.88,0.0
2014-06-30,7.68,$-1.17,0.0
2014-03-31,7.25,$-1.51,0.0
2013-12-31,6.62,$-1.12,0.0
2013-09-30,5.01,$-0.86,0.0
2013-06-30,4.46,$-0.28,0.0
2013-03-31,4.2,$0.87,4.85
2012-12-31,3.16,$0.56,5.63
2012-09-30,3.49,$0.89,3.93
2012-06-30,3.9,$0.55,7.14
2012-03-31,3.98,$-0.12,0.0
2011-12-31,3.24,$0.04,88.28
2011-09-30,3.39,$-0.51,0.0
2011-06-30,4.97,$-0.32,0.0
2011-03-31,6.6,$-0.46,0.0
2010-12-31,7.7,$-0.58,0.0
2010-09-30,6.56,$0.01,475.52
2010-06-30,5.95,$0.17,34.14
2010-03-31,8.14,$0.59,13.81
2009-12-31,7.41,$0.88,8.42
