Wabtec Price to Free Cash Flow Ratio Historical Data,Wabtec Price to Free Cash Flow Ratio Historical Data,Wabtec Price to Free Cash Flow Ratio Historical Data,Wabtec Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,185.41,,19.76
2024-12-31,189.59,$9.38,20.21
2024-09-30,181.59,$9.15,19.85
2024-06-30,157.69,$8.46,18.63
2024-03-31,145.18,$7.76,18.71
2023-12-31,126.28,$5.67,22.29
2023-09-30,105.59,$4.13,25.55
2023-06-30,108.81,$2.93,37.14
2023-03-31,100.09,$3.79,26.4
2022-12-31,98.69,$4.88,20.22
2022-09-30,80.32,$4.49,17.87
2022-06-30,80.91,$4.73,17.11
2022-03-31,94.64,$4.48,21.1
2021-12-31,90.5,$5.15,17.58
2021-09-30,84.59,$5.19,16.3
2021-06-30,80.65,$5.09,15.83
2021-03-31,77.46,$5.52,14.04
2020-12-31,71.52,$3.51,20.35
2020-09-30,60.35,$4.30,14.04
2020-06-30,56.05,$3.59,15.61
2020-03-31,46.76,$4.12,11.36
2019-12-31,75.47,$4.70,16.04
2019-09-30,69.6,$4.98,13.97
2019-06-30,69.39,$4.04,17.19
2019-03-31,71.17,$2.28,31.22
2018-12-31,67.71,$2.41,28.08
2018-09-30,100.94,$1.21,83.48
2018-06-30,94.78,$1.97,48.18
2018-03-31,78.16,$1.67,46.84
2017-12-31,78.06,$1.05,74.57
2017-09-30,72.5,$1.67,43.37
2017-06-30,87.43,$1.71,51.25
2017-03-31,74.44,$3.20,23.28
2016-12-31,79.13,$4.40,18.0
2016-09-30,77.73,$4.26,18.27
2016-06-30,66.77,$5.38,12.4
2016-03-31,75.31,$4.52,16.65
2015-12-31,67.46,$4.16,16.23
2015-09-30,83.44,$4.62,18.07
2015-06-30,89.23,$4.08,21.85
2015-03-31,89.9,$4.53,19.84
2014-12-31,82.16,$4.39,18.72
2014-09-30,76.58,$3.43,22.32
2014-06-30,77.99,$2.93,26.64
2014-03-31,73.14,$2.02,36.26
2013-12-31,70.06,$2.07,33.85
2013-09-30,59.27,$1.86,31.9
2013-06-30,50.33,$2.32,21.7
2013-03-31,48.08,$2.46,19.55
2012-12-31,41.19,$2.09,19.69
2012-09-30,37.76,$2.31,16.35
2012-06-30,36.66,$1.78,20.59
2012-03-31,35.41,$2.00,17.72
2011-12-31,32.85,$2.19,15.02
2011-09-30,24.82,$1.77,13.99
2011-06-30,30.83,$1.99,15.47
2011-03-31,31.82,$1.62,19.58
2010-12-31,24.8,$1.62,15.29
2010-09-30,22.41,$1.30,17.22
2010-06-30,18.7,$1.38,13.53
2010-03-31,19.74,$1.69,11.66
2009-12-31,19.14,$1.54,12.4
