Walmart Price to Free Cash Flow Ratio Historical Data,Walmart Price to Free Cash Flow Ratio Historical Data,Walmart Price to Free Cash Flow Ratio Historical Data,Walmart Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,85.81,,52.97
2025-01-31,98.16,$1.62,60.59
2024-10-31,81.77,$2.15,37.95
2024-07-31,68.3,$1.53,44.6
2024-04-30,58.85,$1.82,32.32
2024-01-31,54.43,$1.90,28.71
2023-10-31,53.63,$1.57,34.06
2023-07-31,52.28,$2.39,21.92
2023-04-30,49.18,$2.39,20.59
2023-01-31,46.68,$1.48,31.5
2022-10-31,46.01,$0.87,52.7
2022-07-31,42.5,$0.69,62.01
2022-04-30,49.06,$0.40,121.73
2022-01-31,44.66,$1.36,32.77
2021-10-31,47.54,$2.06,23.03
2021-07-31,45.19,$2.14,21.17
2021-04-30,44.18,$2.51,17.61
2021-01-31,44.18,$3.05,14.5
2020-10-31,43.47,$2.85,15.26
2020-07-31,40.37,$2.79,14.47
2020-04-30,37.76,$2.19,17.24
2020-01-31,35.4,$1.73,20.48
2019-10-31,36.1,$1.64,21.98
2019-07-31,33.82,$1.98,17.05
2019-04-30,31.34,$1.79,17.48
2019-01-31,29.05,$2.03,14.31
2018-10-31,30.23,$2.11,14.36
2018-07-31,26.74,$2.07,12.91
2018-04-30,26.35,$2.07,12.72
2018-01-31,31.56,$2.07,15.27
2017-10-31,25.72,$2.06,12.5
2017-07-31,23.41,$1.96,11.93
2017-04-30,21.86,$2.27,9.65
2017-01-31,19.26,$2.30,8.36
2016-10-31,20.07,$2.40,8.36
2016-07-31,20.77,$2.31,8.99
2016-04-30,18.9,$1.92,9.82
2016-01-31,18.61,$1.73,10.75
2015-10-31,15.92,$1.69,9.41
2015-07-31,19.89,$1.59,12.53
2015-04-30,21.43,$1.59,13.5
2015-01-31,23.19,$1.74,13.31
2014-10-31,20.7,$1.45,14.25
2014-07-31,19.84,$1.27,15.57
2014-04-30,21.36,$1.30,16.44
2014-01-31,19.89,$1.10,18.02
2013-10-31,20.32,$1.02,19.93
2013-07-31,20.51,$1.23,16.73
2013-04-30,20.33,$1.20,17.01
2013-01-31,18.18,$1.30,13.98
2012-10-31,19.39,$1.45,13.37
2012-07-31,19.13,$1.30,14.71
2012-04-30,15.04,$1.42,10.6
2012-01-31,15.57,$1.09,14.33
2011-10-31,14.3,$1.10,12.94
2011-07-31,13.19,$1.02,12.9
2011-04-30,13.67,$1.14,12.02
2011-01-31,13.84,$1.04,13.33
2010-10-31,13.3,$1.28,10.38
2010-07-31,12.49,$1.35,9.23
2010-04-30,13.02,$1.07,12.13
2010-01-31,12.89,$1.30,9.95
2009-10-31,11.93,$1.35,8.84
