Metalla Royalty & Streaming Price to Free Cash Flow Ratio Historical Data,Metalla Royalty & Streaming Price to Free Cash Flow Ratio Historical Data,Metalla Royalty & Streaming Price to Free Cash Flow Ratio Historical Data,Metalla Royalty & Streaming Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.0,,0.0
2024-09-30,3.09,$-0.08,0.0
2024-06-30,2.78,$-0.17,0.0
2024-03-31,3.11,$-0.13,0.0
2023-12-31,3.08,$-0.15,0.0
2023-09-30,3.06,$-0.13,0.0
2023-06-30,4.32,$-0.04,0.0
2023-03-31,5.56,$-0.06,0.0
2022-12-31,4.89,$-0.03,0.0
2022-09-30,3.86,$-0.31,0.0
2022-06-30,4.81,$-0.29,0.0
2022-03-31,7.04,$-0.52,0.0
2021-12-31,6.9,$-0.85,0.0
2021-09-30,6.77,$-0.50,0.0
2021-06-30,8.52,$-0.53,0.0
2021-03-31,8.84,$-0.36,0.0
