Agilent Technologies Price to Free Cash Flow Ratio Historical Data,Agilent Technologies Price to Free Cash Flow Ratio Historical Data,Agilent Technologies Price to Free Cash Flow Ratio Historical Data,Agilent Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,120.28,,26.5
2025-01-31,151.52,$4.54,33.39
2024-10-31,130.31,$4.72,27.62
2024-07-31,141.17,$4.83,29.21
2024-04-30,136.56,$5.22,26.14
2024-01-31,129.44,$5.58,23.19
2023-10-31,102.67,$4.98,20.62
2023-07-31,120.7,$4.79,25.22
2023-04-30,133.99,$3.97,33.78
2023-01-31,150.22,$3.55,42.32
2022-10-31,136.45,$3.40,40.09
2022-07-31,132.04,$3.38,39.08
2022-04-30,117.23,$3.48,33.73
2022-01-31,136.72,$4.18,32.67
2021-10-31,154.35,$4.23,36.51
2021-07-31,149.98,$4.12,36.39
2021-04-30,130.64,$4.05,32.24
2021-01-31,117.3,$3.51,33.43
2020-10-31,99.49,$2.57,38.65
2020-07-31,93.71,$2.33,40.16
2020-04-30,74.42,$2.12,35.15
2020-01-31,79.95,$1.89,42.4
2019-10-31,73.2,$2.72,26.88
2019-07-31,66.93,$2.87,23.29
2019-04-30,75.53,$2.75,27.46
2019-01-31,73.03,$2.86,25.5
2018-10-31,62.06,$2.80,22.14
2018-07-31,63.13,$2.48,25.48
2018-04-30,62.69,$2.53,24.8
2018-01-31,69.86,$2.41,29.0
2017-10-31,64.58,$2.19,29.53
2017-07-31,56.64,$2.03,27.9
2017-04-30,52.03,$1.98,26.23
2017-01-31,46.17,$2.03,22.79
2016-10-31,40.96,$1.99,20.61
2016-07-31,45.12,$2.08,21.7
2016-04-30,38.28,$1.83,20.91
2016-01-31,35.12,$1.65,21.34
2015-10-31,35.12,$1.27,27.62
2015-07-31,37.98,$1.05,36.21
2015-04-30,38.28,$0.70,54.34
2015-01-31,34.86,$1.00,34.76
2014-10-31,36.79,$1.60,23.03
2014-07-31,37.24,$2.24,16.59
2014-04-30,35.79,$2.81,12.72
2014-01-31,38.42,$2.76,13.9
2013-10-31,33.46,$2.85,11.72
2013-07-31,29.42,$2.99,9.84
2013-04-30,27.18,$3.04,8.95
2013-01-31,29.29,$3.17,9.25
2012-10-31,23.48,$2.93,8.02
2012-07-31,24.92,$3.04,8.2
2012-04-30,27.38,$3.10,8.82
2012-01-31,27.5,$3.13,8.77
2011-10-31,24.01,$3.07,7.82
2011-07-31,27.3,$2.72,10.04
2011-04-30,32.32,$2.29,14.1
2011-01-31,27.09,$1.93,14.05
2010-10-31,22.54,$1.71,13.17
2010-07-31,18.09,$1.28,14.09
2010-04-30,23.48,$1.13,20.73
2010-01-31,18.15,$0.87,20.76
2009-10-31,16.02,$0.81,19.73
