Shutterstock Price to Free Cash Flow Ratio Historical Data,Shutterstock Price to Free Cash Flow Ratio Historical Data,Shutterstock Price to Free Cash Flow Ratio Historical Data,Shutterstock Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.52,,0.0
2024-12-31,30.35,$-0.41,0.0
2024-09-30,35.04,$0.27,129.77
2024-06-30,38.01,$0.98,38.98
2024-03-31,45.0,$0.99,45.53
2023-12-31,47.12,$2.65,17.81
2023-09-30,36.91,$3.32,11.11
2023-06-30,46.92,$4.03,11.65
2023-03-31,69.61,$4.25,16.38
2022-12-31,50.37,$3.06,16.47
2022-09-30,47.72,$3.00,15.88
2022-06-30,54.27,$2.78,19.51
2022-03-31,87.79,$3.76,23.36
2021-12-31,104.3,$4.20,24.86
2021-09-30,106.4,$4.51,23.58
2021-06-30,92.0,$5.63,16.34
2021-03-31,83.25,$4.54,18.34
2020-12-31,66.88,$3.78,17.68
2020-09-30,48.42,$2.73,17.77
2020-06-30,32.43,$1.85,17.58
2020-03-31,29.69,$1.78,16.71
2019-12-31,39.41,$2.15,18.31
2019-09-30,33.2,$2.42,13.71
2019-06-30,36.02,$2.40,15.0
2019-03-31,42.86,$2.08,20.62
2018-12-31,33.1,$1.90,17.41
2018-09-30,50.16,$1.63,30.71
2018-06-30,41.21,$1.51,27.2
2018-03-31,41.81,$1.57,26.63
2017-12-31,37.36,$1.50,24.89
2017-09-30,28.9,$1.28,22.62
2017-06-30,38.27,$1.44,26.62
2017-03-31,35.9,$1.42,25.28
2016-12-31,41.26,$1.69,24.35
2016-09-30,55.31,$2.02,27.34
2016-06-30,39.77,$1.75,22.77
2016-03-31,31.89,$1.86,17.18
2015-12-31,28.08,$2.01,13.97
2015-09-30,26.26,$1.97,13.31
2015-06-30,50.91,$2.13,23.9
2015-03-31,59.62,$2.21,27.01
2014-12-31,60.0,$1.81,33.19
2014-09-30,61.98,$1.62,38.19
2014-06-30,72.05,$1.41,51.22
2014-03-31,63.04,$0.99,63.85
2013-12-31,72.61,$1.23,59.09
2013-09-30,63.14,$2.56,24.68
