Celcuity Price to Free Cash Flow Ratio Historical Data,Celcuity Price to Free Cash Flow Ratio Historical Data,Celcuity Price to Free Cash Flow Ratio Historical Data,Celcuity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.47,,0.0
2024-09-30,14.91,$-1.99,0.0
2024-06-30,16.38,$-2.17,0.0
2024-03-31,21.6,$-2.19,0.0
2023-12-31,14.57,$-2.28,0.0
2023-09-30,9.14,$-2.16,0.0
2023-06-30,10.98,$-2.22,0.0
2023-03-31,10.25,$-2.54,0.0
2022-12-31,14.01,$-2.35,0.0
2022-09-30,10.04,$-2.34,0.0
2022-06-30,9.1,$-1.87,0.0
2022-03-31,9.35,$-1.69,0.0
2021-12-31,13.19,$-1.52,0.0
2021-09-30,18.0,$-1.17,0.0
2021-06-30,24.0,$-1.18,0.0
2021-03-31,14.34,$-0.75,0.0
2020-12-31,9.16,$-0.70,0.0
2020-09-30,5.8,$-0.67,0.0
2020-06-30,6.93,$-0.67,0.0
2020-03-31,6.5,$-0.65,0.0
2019-12-31,10.64,$-0.62,0.0
2019-09-30,16.98,$-0.62,0.0
2019-06-30,25.0,$-0.64,0.0
2019-03-31,21.91,$-0.66,0.0
2018-12-31,23.99,$-0.66,0.0
2018-09-30,28.76,$-0.60,0.0
2018-06-30,24.82,$-1.01,0.0
