CNA Financial Price to Free Cash Flow Ratio Historical Data,CNA Financial Price to Free Cash Flow Ratio Historical Data,CNA Financial Price to Free Cash Flow Ratio Historical Data,CNA Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.2,,5.42
2024-12-31,48.37,$9.08,5.33
2024-09-30,48.5,$8.47,5.73
2024-06-30,45.25,$8.74,5.18
2024-03-31,44.18,$8.31,5.32
2023-12-31,39.01,$8.06,4.84
2023-09-30,35.89,$8.07,4.45
2023-06-30,34.87,$7.77,4.49
2023-03-31,34.87,$8.20,4.25
2022-12-31,36.42,$8.99,4.05
2022-09-30,31.48,$9.48,3.32
2022-06-30,37.94,$9.24,4.11
2022-03-31,40.71,$9.26,4.4
2021-12-31,35.09,$7.23,4.86
2021-09-30,33.12,$6.23,5.32
2021-06-30,35.6,$6.57,5.42
2021-03-31,34.65,$5.95,5.82
2020-12-31,29.48,$6.43,4.58
2020-09-30,22.46,$5.68,3.95
2020-06-30,23.81,$4.61,5.17
2020-03-31,22.67,$3.83,5.91
2019-12-31,31.16,$4.09,7.62
2019-09-30,33.98,$4.80,7.09
2019-06-30,32.24,$4.95,6.51
2019-03-31,29.47,$4.50,6.55
2018-12-31,28.47,$4.14,6.88
2018-09-30,29.22,$4.11,7.11
2018-06-30,29.01,$3.61,8.04
2018-03-31,31.15,$3.97,7.85
2017-12-31,32.04,$4.23,7.57
2017-09-30,30.18,$3.89,7.75
2017-06-30,29.12,$4.31,6.76
2017-03-31,26.23,$4.50,5.83
2016-12-31,23.4,$5.08,4.61
2016-09-30,19.27,$5.29,3.64
2016-06-30,17.46,$5.30,3.3
2016-03-31,17.75,$5.89,3.01
2015-12-31,17.97,$4.66,3.85
2015-09-30,17.73,$4.89,3.62
2015-06-30,19.27,$4.77,4.04
2015-03-31,20.76,$4.75,4.37
2014-12-31,18.39,$5.06,3.64
2014-09-30,17.95,$4.67,3.84
2014-06-30,18.96,$4.24,4.47
2014-03-31,19.92,$4.07,4.89
2013-12-31,19.41,$4.12,4.71
2013-09-30,17.19,$3.99,4.31
2013-06-30,14.61,$4.10,3.56
2013-03-31,14.55,$3.84,3.79
2012-12-31,12.39,$4.28,2.89
2012-09-30,11.79,$6.69,1.76
2012-06-30,12.13,$6.70,1.81
2012-03-31,12.77,$6.70,1.91
2011-12-31,11.58,$6.00,1.93
2011-09-30,9.69,$4.88,1.99
2011-06-30,12.48,$-1.16,0.0
2011-03-31,12.65,$-1.46,0.0
2010-12-31,11.54,$-0.53,0.0
2010-09-30,11.95,$0.95,12.59
2010-06-30,10.91,$5.57,1.96
2010-03-31,11.4,$5.12,2.23
2009-12-31,10.24,$4.44,2.31
