Hawkins Price to Free Cash Flow Ratio Historical Data,Hawkins Price to Free Cash Flow Ratio Historical Data,Hawkins Price to Free Cash Flow Ratio Historical Data,Hawkins Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,105.01,,27.17
2024-12-31,122.67,$3.86,31.74
2024-09-30,127.28,$3.95,32.23
2024-06-30,90.73,$4.78,18.99
2024-03-31,76.43,$5.73,13.33
2023-12-31,69.92,$5.41,12.92
2023-09-30,58.29,$5.41,10.77
2023-06-30,47.1,$4.01,11.76
2023-03-31,43.1,$1.72,25.04
2022-12-31,37.86,$0.18,207.35
2022-09-30,38.12,$-0.97,0.0
2022-06-30,35.11,$-0.91,0.0
2022-03-31,44.56,$0.69,64.39
2021-12-31,38.18,$1.56,24.47
2021-09-30,33.64,$2.10,16.0
2021-06-30,31.47,$1.85,17.0
2021-03-31,32.1,$1.10,29.21
2020-12-31,24.95,$1.04,24.02
2020-09-30,21.89,$1.57,13.98
2020-06-30,20.13,$1.41,14.25
2020-03-31,16.74,$1.61,10.39
2019-12-31,21.43,$1.74,12.3
2019-09-30,19.77,$1.30,15.22
2019-06-30,20.09,$1.49,13.52
2019-03-31,16.94,$1.65,10.28
2018-12-31,18.74,$1.60,11.69
2018-09-30,18.86,$1.75,10.79
2018-06-30,15.99,$1.46,10.99
2018-03-31,15.9,$0.38,42.26
2017-12-31,15.71,$0.28,55.97
2017-09-30,18.21,$-0.14,0.0
2017-06-30,20.45,$-0.15,0.0
2017-03-31,21.62,$1.11,19.45
2016-12-31,23.6,$0.99,23.82
2016-09-30,18.95,$0.92,20.63
2016-06-30,18.8,$0.85,22.16
2016-03-31,15.63,$0.59,26.44
2015-12-31,15.32,$0.29,53.27
2015-09-30,16.49,$0.65,25.26
2015-06-30,17.12,$0.52,33.22
2015-03-31,16.1,$0.30,54.04
2014-12-31,18.18,$0.70,25.93
2014-09-30,15.09,$0.82,18.3
2014-06-30,15.42,$1.10,14.02
2014-03-31,15.26,$1.06,14.4
2013-12-31,15.29,$0.64,24.01
2013-09-30,15.51,$0.27,58.21
2013-06-30,16.04,$-0.17,0.0
2013-03-31,16.27,$0.43,37.91
2012-12-31,15.6,$0.82,19.12
2012-09-30,16.77,$0.93,18.12
2012-06-30,15.29,$0.96,15.93
2012-03-31,14.89,$0.67,22.34
2011-12-31,14.63,$0.31,46.99
2011-09-30,12.64,$0.49,25.66
2011-06-30,14.23,$0.90,15.9
2011-03-31,16.14,$0.79,20.57
2010-12-31,17.32,$1.16,14.9
2010-09-30,13.82,$0.95,14.48
2010-06-30,9.29,$1.13,8.2
2010-03-31,9.34,$1.49,6.28
2009-12-31,8.32,$1.63,5.1
