Edesa Biotech Price to Free Cash Flow Ratio Historical Data,Edesa Biotech Price to Free Cash Flow Ratio Historical Data,Edesa Biotech Price to Free Cash Flow Ratio Historical Data,Edesa Biotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.47,,0.0
2024-12-31,1.68,$-1.53,0.0
2024-09-30,4.45,$-1.53,0.0
2024-06-30,4.28,$-1.78,0.0
2024-03-31,4.19,$-2.10,0.0
2023-12-31,4.57,$-2.09,0.0
2023-09-30,4.42,$-2.32,0.0
2023-06-30,5.68,$-4.61,0.0
2023-03-31,6.38,$-5.21,0.0
2022-12-31,15.12,$-4.86,0.0
2022-09-30,6.45,$-5.86,0.0
2022-06-30,11.27,$-3.90,0.0
2022-03-31,20.79,$-3.62,0.0
2021-12-31,39.41,$-7.55,0.0
2021-09-30,51.66,$-7.92,0.0
2021-06-30,36.96,$-8.47,0.0
2021-03-31,37.8,$-8.61,0.0
2020-12-31,29.75,$-5.35,0.0
2020-09-30,56.49,$-4.01,0.0
2020-06-30,34.37,$3.71,9.25
2020-03-31,14.98,$0.16,96.58
2019-12-31,28.7,$0.11,260.2
2019-09-30,43.6,0,0.0
2019-06-30,49.28,$-77.93,0.0
2019-03-31,45.78,$1.67,27.44
2018-12-31,38.22,$-41.02,0.0
2018-09-30,58.38,$-73.14,0.0
2018-06-30,75.6,$-35.62,0.0
2018-03-31,241.08,$341.45,0.71
2017-12-31,238.17,$-134.56,0.0
2017-09-30,333.6,$-143.64,0.0
2017-06-30,358.68,$-147.40,0.0
2017-03-31,479.22,$-637.63,0.0
2016-12-31,596.82,$-158.01,0.0
2016-09-30,705.6,$-163.35,0.0
