Plains All American Pipeline Price to Free Cash Flow Ratio Historical Data,Plains All American Pipeline Price to Free Cash Flow Ratio Historical Data,Plains All American Pipeline Price to Free Cash Flow Ratio Historical Data,Plains All American Pipeline Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.24,,7.54
2024-12-31,17.08,$2.68,6.36
2024-09-30,17.04,$3.17,5.38
2024-06-30,17.22,$2.33,7.4
2024-03-31,16.62,$2.65,6.27
2023-12-31,14.06,$3.57,3.94
2023-09-30,13.97,$2.55,5.48
2023-06-30,12.62,$3.81,3.31
2023-03-31,10.94,$3.75,2.91
2022-12-31,10.1,$2.87,3.52
2022-09-30,8.87,$3.38,2.62
2022-06-30,8.12,$3.77,2.15
2022-03-31,8.72,$2.97,2.93
2021-12-31,7.44,$3.55,2.1
2021-09-30,7.97,$3.20,2.49
2021-06-30,8.74,$1.83,4.77
2021-03-31,6.87,$1.62,4.25
2020-12-31,6.09,$1.66,3.68
2020-09-30,4.3,$1.90,2.26
2020-06-30,6.21,$1.75,3.55
2020-03-31,3.63,$1.84,1.98
2019-12-31,12.39,$1.75,7.08
2019-09-30,13.71,$2.21,6.2
2019-06-30,15.85,$2.93,5.4
2019-03-31,15.71,$3.37,4.67
2018-12-31,12.68,$2.89,4.39
2018-09-30,15.6,$3.19,4.89
2018-06-30,14.57,$2.76,5.28
2018-03-31,13.41,$3.10,4.32
2017-12-31,12.39,$3.56,3.48
2017-09-30,12.53,$1.61,7.78
2017-06-30,15.21,$1.70,8.92
2017-03-31,17.97,$-0.24,0.0
2016-12-31,18.04,$0.11,158.67
2016-09-30,17.25,$-0.19,0.0
2016-06-30,14.71,$-0.68,0.0
2016-03-31,10.9,$-1.29,0.0
2015-12-31,11.58,$-1.81,0.0
2015-09-30,14.89,$-0.32,0.0
2015-06-30,21.0,$-0.79,0.0
2015-03-31,23.19,$0.05,476.24
2014-12-31,24.08,$0.27,88.85
2014-09-30,27.29,$-0.08,0.0
2014-06-30,27.54,$0.09,322.89
2014-03-31,25.0,$0.74,34.01
2013-12-31,23.19,$1.58,14.7
2013-09-30,23.32,$1.30,17.92
2013-06-30,24.44,$2.34,10.43
2013-03-31,24.49,$1.83,13.39
2012-12-31,19.4,$0.18,109.75
2012-09-30,18.69,$1.60,11.7
2012-06-30,16.92,$3.00,5.65
2012-03-31,16.21,$4.15,3.91
2011-12-31,14.98,$5.83,2.57
2011-09-30,11.83,$3.18,3.72
2011-06-30,12.65,$1.35,9.36
2011-03-31,12.41,$0.12,107.01
2010-12-31,12.05,$-0.69,0.0
2010-09-30,11.89,$0.20,60.1
2010-06-30,10.93,$-0.32,0.0
2010-03-31,10.43,$-0.74,0.0
2009-12-31,9.52,$-0.34,0.0
