Titan Price to Free Cash Flow Ratio Historical Data,Titan Price to Free Cash Flow Ratio Historical Data,Titan Price to Free Cash Flow Ratio Historical Data,Titan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.01,,8.15
2024-12-31,6.79,$1.10,6.15
2024-09-30,8.13,$1.43,5.68
2024-06-30,7.41,$1.46,5.08
2024-03-31,12.46,$1.46,8.52
2023-12-31,14.88,$1.88,7.9
2023-09-30,13.43,$2.27,5.92
2023-06-30,11.48,$2.29,5.02
2023-03-31,10.48,$2.38,4.41
2022-12-31,15.32,$1.79,8.58
2022-09-30,12.14,$1.07,11.37
2022-06-30,15.1,$0.53,28.43
2022-03-31,14.73,$-0.45,0.0
2021-12-31,10.96,$-0.45,0.0
2021-09-30,7.16,$-0.37,0.0
2021-06-30,8.48,$0.12,70.26
2021-03-31,9.28,$0.23,39.85
2020-12-31,4.86,$0.58,8.31
2020-09-30,2.89,$0.62,4.68
2020-06-30,1.46,$0.55,2.65
2020-03-31,1.55,$0.53,2.92
2019-12-31,3.61,$0.15,24.03
2019-09-30,2.69,$-0.18,0.0
2019-06-30,4.86,$-0.89,0.0
2019-03-31,5.93,$-0.95,0.0
2018-12-31,4.62,$-1.25,0.0
2018-09-30,7.35,$-0.91,0.0
2018-06-30,10.63,$-0.61,0.0
2018-03-31,12.48,$-0.91,0.0
2017-12-31,12.74,$-0.57,0.0
2017-09-30,10.04,$-1.05,0.0
2017-06-30,11.87,$-0.95,0.0
2017-03-31,10.22,$-0.27,0.0
2016-12-31,11.07,$0.03,384.43
2016-09-30,9.99,$0.80,12.42
2016-06-30,6.12,$0.75,8.15
2016-03-31,5.3,$0.54,9.79
2015-12-31,3.88,$0.29,13.44
2015-09-30,6.5,$0.44,14.68
2015-06-30,10.56,$0.64,16.6
2015-03-31,9.2,$0.74,12.36
2014-12-31,10.44,$1.11,9.4
2014-09-30,11.6,$-0.10,0.0
2014-06-30,16.5,$-0.00,0.0
2014-03-31,18.63,$0.64,29.17
2013-12-31,17.63,$0.62,28.56
2013-09-30,14.35,$1.56,9.17
2013-06-30,16.52,$1.47,11.21
2013-03-31,20.63,$0.95,21.79
2012-12-31,21.25,$1.18,18.03
2012-09-30,17.27,$0.88,19.56
2012-06-30,23.97,$0.73,32.85
2012-03-31,23.1,$-0.13,0.0
2011-12-31,19.0,$-0.59,0.0
2011-09-30,14.64,$0.31,47.45
2011-06-30,23.66,$0.27,88.06
2011-03-31,25.94,$0.79,32.88
2010-12-31,19.04,$0.63,30.4
2010-09-30,13.22,$0.27,49.3
2010-06-30,9.7,$0.81,11.96
2010-03-31,8.49,$1.52,5.58
2009-12-31,7.88,$0.94,8.34
