Sphere Entertainment Price to Free Cash Flow Ratio Historical Data,Sphere Entertainment Price to Free Cash Flow Ratio Historical Data,Sphere Entertainment Price to Free Cash Flow Ratio Historical Data,Sphere Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.22,,0.0
2024-09-30,44.18,$-0.25,0.0
2024-06-30,35.06,$-8.76,0.0
2024-03-31,49.08,$-26.41,0.0
