POSCO Price to Free Cash Flow Ratio Historical Data,POSCO Price to Free Cash Flow Ratio Historical Data,POSCO Price to Free Cash Flow Ratio Historical Data,POSCO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,55.32,,0.0
2024-09-30,69.99,$-3.56,0.0
2024-06-30,65.32,$-0.94,0.0
2024-03-31,77.37,$-1.17,0.0
2023-12-31,93.31,$-1.52,0.0
2023-09-30,100.56,$2.23,45.07
2023-06-30,72.21,$5.28,13.67
2023-03-31,67.62,$1.40,48.38
2022-12-31,52.85,$3.59,14.71
2022-09-30,35.28,$4.42,7.98
2022-06-30,42.48,$2.58,16.49
2022-03-31,55.64,$7.16,7.77
2021-12-31,54.14,$9.33,5.8
2021-09-30,62.96,$9.70,6.49
2021-06-30,69.04,$11.12,6.21
2021-03-31,64.21,$11.80,5.44
2020-12-31,54.9,$13.72,4.0
2020-09-30,36.3,$12.49,2.91
2020-06-30,31.86,$9.48,3.36
2020-03-31,28.0,$8.18,3.42
2019-12-31,43.01,$8.83,4.87
2019-09-30,39.44,$8.53,4.62
2019-06-30,43.97,$11.76,3.74
2019-03-31,45.4,$10.42,4.36
2018-12-31,44.84,$10.88,4.12
2018-09-30,52.81,$-25.09,0.0
2018-06-30,58.92,$11.74,5.02
2018-03-31,62.4,$11.73,5.32
2017-12-31,61.56,$9.45,6.52
2017-09-30,54.12,$44.45,1.22
2017-06-30,48.57,$3.84,12.64
2017-03-31,49.79,$6.32,7.88
2016-12-31,40.35,$8.41,4.8
2016-09-30,38.32,$13.09,2.93
2016-06-30,33.29,$10.10,3.3
2016-03-31,35.13,$16.02,2.19
2015-12-31,26.25,$14.35,1.83
2015-09-30,25.1,$11.49,2.18
2015-06-30,35.19,$15.07,2.34
2015-03-31,38.85,$5.02,7.74
2014-12-31,45.36,$-0.09,0.0
2014-09-30,53.95,$-4.73,0.0
2014-06-30,52.92,$-4.82,0.0
2014-03-31,49.34,$-5.37,0.0
2013-12-31,55.45,$-4.52,0.0
2013-09-30,51.57,$-1.89,0.0
2013-06-30,45.58,$-3.60,0.0
2013-03-31,51.34,$-3.36,0.0
2012-12-31,57.22,$1.55,36.93
2012-09-30,56.03,$-1.05,0.0
2012-06-30,55.27,$-3.49,0.0
2012-03-31,57.24,$-5.55,0.0
2011-12-31,56.15,$-9.67,0.0
2011-09-30,51.12,$-18.78,0.0
2011-06-30,73.06,$-16.42,0.0
2011-03-31,76.52,$-13.55,0.0
2010-12-31,72.1,$-10.22,0.0
2010-09-30,75.32,$3.43,21.93
2010-06-30,62.33,$6.96,8.96
2010-03-31,77.0,$9.46,8.14
2009-12-31,86.27,$7.91,10.91
