Co-Diagnostics Price to Free Cash Flow Ratio Historical Data,Co-Diagnostics Price to Free Cash Flow Ratio Historical Data,Co-Diagnostics Price to Free Cash Flow Ratio Historical Data,Co-Diagnostics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.49,,0.0
2024-09-30,1.25,$-0.89,0.0
2024-06-30,1.25,$-0.85,0.0
2024-03-31,1.12,$-0.89,0.0
2023-12-31,1.33,$-0.80,0.0
2023-09-30,1.06,$-0.76,0.0
2023-06-30,1.11,$-0.52,0.0
2023-03-31,1.48,$-0.26,0.0
2022-12-31,2.52,$0.16,15.43
2022-09-30,3.21,$0.46,6.94
2022-06-30,5.61,$0.80,7.04
2022-03-31,6.18,$1.16,5.32
2021-12-31,8.93,$1.35,6.61
2021-09-30,9.73,$1.90,5.12
2021-06-30,8.25,$1.81,4.55
2021-03-31,9.54,$1.45,6.6
2020-12-31,9.3,$0.98,9.51
2020-09-30,13.59,$0.16,84.57
2020-06-30,19.35,$-0.19,0.0
2020-03-31,7.62,$-0.31,0.0
2019-12-31,0.9,$-0.34,0.0
2019-09-30,1.03,$-0.31,0.0
2019-06-30,0.8,$-0.33,0.0
2019-03-31,1.06,$-0.34,0.0
2018-12-31,1.49,$-0.33,0.0
2018-09-30,2.63,$-0.36,0.0
2018-06-30,3.88,$-0.46,0.0
